date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,AK,399,35981,None,16,None,None,None,None,None,348,10,None,36380,36380,36380,0,0,769,0,769
20200518,AK,399,35212,None,9,None,None,None,None,None,345,10,None,35611,35611,35611,0,0,957,3,960
20200517,AK,396,34255,None,13,None,None,None,None,None,344,10,None,34651,34651,34651,0,0,1366,4,1370
20200516,AK,392,32889,None,10,None,None,None,None,None,344,10,None,33281,33281,33281,0,0,859,4,863
20200515,AK,388,32030,None,8,None,None,None,None,None,343,10,None,32418,32418,32418,0,0,655,1,656
20200514,AK,387,31375,None,12,None,None,None,None,None,339,10,None,31762,31762,31762,0,0,1109,4,1113
20200513,AK,383,30266,None,12,None,None,None,None,None,338,10,None,30649,30649,30649,0,0,688,0,688
20200512,AK,383,29578,None,10,None,None,None,None,None,334,10,None,29961,29961,29961,0,0,1279,2,1281
20200511,AK,381,28299,None,7,None,None,None,None,None,328,10,None,28680,28680,28680,0,0,1314,2,1316
20200510,AK,379,26985,None,8,None,None,None,None,None,324,10,None,27364,27364,27364,0,0,914,1,915
20200509,AK,378,26071,None,8,None,None,None,None,None,318,10,None,26449,26449,26449,0,0,975,1,976
20200508,AK,377,25096,None,16,None,None,None,None,None,305,10,None,25473,25473,25473,0,0,1129,3,1132
20200507,AK,374,23967,None,12,None,None,None,None,None,291,10,None,24341,24341,24341,0,0,684,2,686
20200506,AK,372,23283,None,8,None,None,None,None,None,284,10,None,23655,23655,23655,1,0,962,1,963
20200505,AK,371,22321,None,13,None,None,None,None,None,277,9,None,22692,22692,22692,0,0,968,1,969
20200504,AK,370,21353,None,12,None,None,None,None,None,263,9,None,21723,21723,21723,0,0,143,2,145
20200503,AK,368,21210,None,12,None,None,None,None,None,262,9,None,21578,21578,21578,0,0,176,3,179
20200502,AK,365,21034,None,10,None,None,None,None,None,261,9,None,21399,21399,21399,0,0,1073,1,1074
20200501,AK,364,19961,None,25,None,None,None,None,None,254,9,None,20325,20325,20325,0,0,1197,9,1206
20200430,AK,355,18764,None,19,None,None,None,None,None,252,9,None,19119,19119,19119,0,0,0,0,0
20200429,AK,355,18764,None,14,None,None,None,None,None,240,9,None,19119,19119,19119,0,0,2026,4,2030
20200428,AK,351,16738,None,16,None,None,None,None,None,228,9,None,17089,17089,17089,0,0,827,6,833
20200427,AK,345,15911,None,10,None,None,None,None,None,218,9,None,16256,16256,16256,0,0,75,4,79
20200426,AK,341,15836,None,14,None,None,None,None,None,217,9,None,16177,16177,16177,0,0,443,2,445
20200425,AK,339,15393,None,32,None,None,None,None,None,217,9,None,15732,15732,15732,0,0,3451,0,3451
20200424,AK,339,11942,None,36,None,None,None,None,None,208,9,None,12281,12281,12281,0,0,118,2,120
20200423,AK,337,11824,None,42,None,None,None,None,None,209,9,None,12161,12161,12161,0,0,0,2,2
20200422,AK,335,11824,None,39,36,None,None,None,None,196,9,36,12159,12159,12159,0,0,1034,6,1040
20200421,AK,329,10790,None,42,36,None,None,None,None,168,9,36,11119,11119,11119,0,0,987,8,995
20200420,AK,321,9803,None,46,36,None,None,None,None,161,9,36,10124,10124,10124,0,0,227,2,229
20200419,AK,319,9576,None,37,36,None,None,None,None,153,9,36,9895,9895,9895,0,0,235,5,240
20200418,AK,314,9341,None,39,36,None,None,None,None,147,9,36,9655,9655,9655,0,0,200,5,205
20200417,AK,309,9141,None,None,36,None,None,None,None,128,9,36,9450,9450,9450,0,1,706,9,715
20200416,AK,300,8435,None,None,35,None,None,None,None,110,9,35,8735,8735,8735,0,1,64,7,71
20200415,AK,293,8371,None,None,34,None,None,None,None,106,9,34,8664,8664,8664,0,2,308,8,316
20200414,AK,285,8063,None,None,32,None,None,None,None,98,9,32,8348,8348,8348,1,0,510,8,518
20200413,AK,277,7553,None,None,32,None,None,None,None,85,8,32,7830,7830,7830,0,1,-213,5,-208
20200412,AK,272,7766,None,None,31,None,None,None,None,66,8,31,8038,8038,8038,0,0,291,15,306
20200411,AK,257,7475,None,None,31,None,None,None,None,63,8,31,7732,7732,7732,1,3,289,11,300
20200410,AK,246,7186,None,None,28,None,None,None,None,55,7,28,7432,7432,7432,0,1,198,11,209
20200409,AK,235,6988,None,None,27,None,None,None,None,49,7,27,7223,7223,7223,0,0,146,9,155
20200408,AK,226,6842,None,None,27,None,None,None,None,32,7,27,7068,7068,7068,1,4,142,13,155
20200407,AK,213,6700,None,None,23,None,None,None,None,29,6,23,6913,6913,6913,0,0,8,22,30
20200406,AK,191,6692,None,None,23,None,None,None,None,None,6,23,6883,6883,6883,0,3,593,6,599
20200405,AK,185,6099,None,None,20,None,None,None,None,None,6,20,6284,6284,6284,1,4,230,14,244
20200404,AK,171,5869,None,None,16,None,None,None,None,None,5,16,6040,6040,6040,2,1,10,14,24
20200403,AK,157,5859,None,None,15,None,None,None,None,None,3,15,6016,6016,6016,0,6,980,14,994
20200402,AK,143,4879,None,None,9,None,None,None,None,None,3,9,5022,5022,5022,0,0,409,10,419
20200401,AK,133,4470,None,None,9,None,None,None,None,None,3,9,4603,4603,4603,0,2,876,14,890
20200331,AK,119,3594,None,None,7,None,None,None,None,None,3,7,3713,3713,3713,0,0,54,5,59
20200330,AK,114,3540,None,None,7,None,None,None,None,None,3,7,3654,3654,3654,1,1,308,12,320
20200329,AK,102,3232,None,None,6,None,None,None,None,None,2,6,3334,3334,3334,0,1,396,17,413
20200328,AK,85,2836,None,None,5,None,None,None,None,None,2,5,2921,2921,2921,1,2,517,16,533
20200327,AK,69,2319,13,None,3,None,None,None,None,None,1,3,2401,2388,2388,0,0,518,10,528
20200326,AK,59,1801,None,None,3,None,None,None,None,None,1,3,1860,1860,1860,0,2,152,17,169
20200325,AK,42,1649,None,None,1,None,None,None,None,None,1,1,1691,1691,1691,1,1,663,6,669
20200324,AK,36,986,None,None,0,None,None,None,None,None,0,0,1022,1022,1022,0,0,40,14,54
20200323,AK,22,946,None,None,0,None,None,None,None,None,0,0,968,968,968,0,0,0,0,0
20200322,AK,22,946,None,None,0,None,None,None,None,None,0,0,968,968,968,0,0,188,8,196
20200321,AK,14,758,None,None,0,None,None,None,None,None,0,0,772,772,772,0,0,72,2,74
20200320,AK,12,686,None,None,None,None,None,None,None,None,0,None,698,698,698,0,0,254,6,260
20200319,AK,6,432,None,None,None,None,None,None,None,None,0,None,438,438,438,0,0,26,0,26
20200318,AK,6,406,None,None,None,None,None,None,None,None,0,None,412,412,412,0,0,72,3,75
20200317,AK,3,334,None,None,None,None,None,None,None,None,0,None,337,337,337,0,0,191,2,193
20200316,AK,1,143,None,None,None,None,None,None,None,None,0,None,144,144,144,0,0,0,0,0
20200315,AK,1,143,None,None,None,None,None,None,None,None,0,None,144,144,144,0,0,0,0,0
20200314,AK,1,143,None,None,None,None,None,None,None,None,0,None,144,144,144,0,0,84,0,84
20200313,AK,1,59,None,None,None,None,None,None,None,None,0,None,60,60,60,0,0,13,1,14
20200312,AK,0,46,14,None,None,None,None,None,None,None,0,None,60,46,46,0,0,0,0,0
20200311,AK,0,46,14,None,None,None,None,None,None,None,0,None,60,46,46,0,0,23,0,23
20200310,AK,0,23,9,None,None,None,None,None,None,None,0,None,32,23,23,0,0,0,0,0
20200309,AK,0,23,9,None,None,None,None,None,None,None,0,None,32,23,23,0,0,9,0,9
20200308,AK,0,14,6,None,None,None,None,None,None,None,0,None,20,14,14,0,0,2,0,2
20200307,AK,0,12,2,None,None,None,None,None,None,None,0,None,14,12,12,0,0,4,0,4
20200306,AK,0,8,1,None,None,None,None,None,None,None,0,None,9,8,8,None,None,None,None,None
