date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,AL,12376,145190,None,None,1453,None,517,None,306,None,504,1453,157566,157566,157566,15,37,153,290,443
20200518,AL,12086,145037,None,None,1416,None,512,None,302,None,489,1416,157123,157123,157123,1,24,458,315,773
20200517,AL,11771,144579,None,None,1392,None,504,None,296,None,488,1392,156350,156350,156350,3,5,2608,248,2856
20200516,AL,11523,141971,None,None,1387,None,501,None,295,None,485,1387,153494,153494,153494,9,10,7124,307,7431
20200515,AL,11216,134847,None,None,1377,None,497,None,293,None,476,1377,146063,146063,146063,9,27,3830,248,4078
20200514,AL,10968,131017,None,None,1350,None,489,None,291,None,467,1350,141985,141985,141985,18,33,5262,351,5613
20200513,AL,10617,125755,None,None,1317,None,477,None,284,None,449,1317,136372,136372,136372,20,30,2847,307,3154
20200512,AL,10310,122908,None,None,1287,None,468,None,280,None,429,1287,133218,133218,133218,28,31,3473,301,3774
20200511,AL,10009,119435,None,None,1256,None,463,None,276,None,401,1256,129444,129444,129444,8,16,1791,232,2023
20200510,AL,9777,117644,None,None,1240,None,460,None,274,None,393,1240,127421,127421,127421,5,12,1717,210,1927
20200509,AL,9567,115927,None,None,1228,None,459,None,272,None,388,1228,125494,125494,125494,13,21,5034,346,5380
20200508,AL,9221,110893,None,None,1207,None,454,None,266,None,375,1207,120114,120114,120114,26,29,4618,323,4941
20200507,AL,8898,106275,None,None,1178,None,448,None,266,None,349,1178,115173,115173,115173,9,20,5340,317,5657
20200506,AL,8581,100935,None,None,1158,None,442,None,264,None,340,1158,109516,109516,109516,27,51,2454,296,2750
20200505,AL,8285,98481,None,None,1107,None,428,None,255,None,313,1107,106766,106766,106766,17,43,3389,260,3649
20200504,AL,8025,95092,None,None,1064,None,411,None,247,None,296,1064,103117,103117,103117,6,29,10317,300,10617
20200503,AL,7725,84775,None,None,1035,None,403,None,242,None,290,1035,92500,92500,92500,2,12,0,291,291
20200502,AL,7434,84775,None,None,1023,None,335,None,195,None,288,1023,92209,92209,92209,9,15,0,276,276
20200501,AL,7158,84775,None,None,1008,None,335,None,195,None,279,1008,91933,91933,91933,10,30,4598,139,4737
20200430,AL,7019,80177,None,None,978,None,335,None,195,None,269,978,87196,87196,87196,24,33,6570,177,6747
20200429,AL,6842,73607,None,None,945,None,335,None,195,None,245,945,80449,80449,80449,3,34,4467,155,4622
20200428,AL,6687,69140,None,None,911,None,335,None,195,None,242,911,75827,75827,75827,20,39,1642,188,1830
20200427,AL,6499,67498,None,None,872,None,335,None,195,None,222,872,73997,73997,73997,6,27,217,229,446
20200426,AL,6270,67281,None,None,845,None,288,None,170,None,216,845,73551,73551,73551,4,6,2074,133,2207
20200425,AL,6137,65207,None,None,839,None,288,None,170,None,212,839,71344,71344,71344,15,71,18344,305,18649
20200424,AL,5832,46863,None,None,768,None,288,None,170,None,197,768,52695,52695,52695,0,0,0,54,54
