date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,AR,4923,88778,None,78,535,None,None,14,101,3739,102,535,93701,93701,93701,2,5,8352,110,8462
20200518,AR,4813,80426,None,77,530,None,None,12,101,3645,100,530,85239,85239,85239,2,10,0,54,54
20200517,AR,4759,80426,None,65,520,None,None,9,101,3590,98,520,85185,85185,85185,0,0,3360,181,3541
20200516,AR,4578,77066,None,65,520,None,None,10,101,3472,98,520,81644,81644,81644,0,0,0,115,115
20200515,AR,4463,77066,None,65,520,None,None,9,101,3390,98,520,81529,81529,81529,1,11,5484,227,5711
20200514,AR,4236,71582,None,64,509,None,None,13,100,3277,97,509,75818,75818,75818,2,12,2531,72,2603
20200513,AR,4164,69051,None,59,497,None,None,12,99,3220,95,497,73215,73215,73215,0,12,2771,0,2771
20200512,AR,4164,66280,None,59,485,None,None,12,98,3220,95,485,70444,70444,70444,1,5,1284,130,1414
20200511,AR,4034,64996,None,61,480,None,None,11,98,3149,94,480,69030,69030,69030,6,9,3215,287,3502
20200510,AR,3747,61781,None,64,471,None,None,14,96,2968,88,471,65528,65528,65528,0,0,0,0,0
20200509,AR,3747,61781,None,64,471,None,None,14,96,2968,88,471,65528,65528,65528,0,5,1481,53,1534
20200508,AR,3694,60300,None,70,466,None,None,14,93,2159,88,466,63994,63994,63994,1,4,3916,83,3999
20200507,AR,3611,56384,None,69,462,None,None,14,93,2123,87,462,59995,59995,59995,2,9,949,43,992
20200506,AR,3568,55435,None,69,453,None,None,14,89,2109,85,453,59003,59003,59003,5,0,4296,72,4368
20200505,AR,3496,51139,None,89,453,None,None,16,89,2041,80,453,54635,54635,54635,-1,15,155,38,193
20200504,AR,3458,50984,None,91,438,None,None,16,88,2016,81,438,54442,54442,54442,5,11,1525,27,1552
20200503,AR,3431,49459,None,100,427,None,None,20,88,1999,76,427,52890,52890,52890,3,13,1249,59,1308
20200502,AR,3372,48210,None,95,414,None,None,20,85,1987,73,414,51582,51582,51582,9,0,1855,51,1906
20200501,AR,3321,46355,None,95,414,None,None,23,85,1973,64,414,49676,49676,49676,3,12,1231,66,1297
20200430,AR,3255,45124,None,95,402,None,None,23,85,1305,61,402,48379,48379,48379,2,13,2867,63,2930
20200429,AR,3192,42257,None,93,389,None,None,18,82,1249,59,389,45449,45449,45449,7,389,4697,81,4778
20200428,AR,3111,37560,None,104,None,None,None,20,None,1146,52,None,40671,40671,40671,2,0,120,94,214
20200427,AR,3017,37440,None,109,None,None,None,25,None,987,50,None,40457,40457,40457,1,0,912,76,988
20200426,AR,2941,36528,None,104,291,None,None,25,57,985,49,291,39469,39469,39469,2,0,1304,112,1416
20200425,AR,2829,35224,None,104,291,None,None,25,57,964,47,291,38053,38053,38053,2,0,2387,88,2475
20200424,AR,2741,32837,None,101,291,None,None,24,57,929,45,291,35578,35578,35578,0,0,3712,276,3988
20200423,AR,2465,29125,None,101,291,None,None,24,57,902,45,291,31590,31590,31590,3,0,1688,189,1877
20200422,AR,2276,27437,None,97,291,None,None,23,57,863,42,291,29713,29713,29713,-1,0,2223,49,2272
20200421,AR,2227,25214,None,86,291,None,None,27,57,809,43,291,27441,27441,27441,1,0,584,304,888
20200420,AR,1923,24630,None,93,291,None,None,24,57,749,42,291,26553,26553,26553,2,0,2202,142,2344
20200419,AR,1781,22428,None,88,291,None,None,25,57,721,40,291,24209,24209,24209,2,0,26,42,68
20200418,AR,1739,22402,None,86,291,None,None,22,57,703,38,291,24141,24141,24141,1,291,603,44,647
20200417,AR,1695,21799,None,83,None,None,None,21,None,593,37,None,23494,23494,23494,0,0,744,75,819
20200416,AR,1620,21055,None,85,None,None,None,21,None,548,37,None,22675,22675,22675,4,0,790,51,841
20200415,AR,1569,20265,None,83,130,None,43,26,39,489,33,130,21834,21834,21834,3,0,614,89,703
20200414,AR,1480,19651,None,81,130,None,43,29,39,427,30,130,21131,21131,21131,0,0,257,70,327
