date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,CT,38430,147090,None,914,10946,None,None,None,None,6264,3472,10946,185520,185520,185520,23,0,7527,314,7841
20200518,CT,38116,139563,None,920,10946,None,None,None,None,6264,3449,10946,177679,177679,177679,41,0,6375,697,7072
20200517,CT,37419,133188,None,937,10946,None,None,None,None,6264,3408,10946,170607,170607,170607,69,0,5136,716,5852
20200516,CT,36703,128052,None,994,10946,None,None,None,None,6264,3339,10946,164755,164755,164755,54,0,8229,618,8847
20200515,CT,36085,119823,None,1033,10946,None,None,None,None,6264,3285,10946,155908,155908,155908,66,0,5725,621,6346
20200514,CT,35464,114098,None,1103,10946,None,None,None,None,6264,3219,10946,149562,149562,149562,94,1557,6010,609,6619
20200513,CT,34855,108088,None,1158,9389,None,None,None,None,5413,3125,9389,142943,142943,142943,84,0,3997,522,4519
20200512,CT,34333,104091,None,1189,9389,None,None,None,None,5413,3041,9389,138424,138424,138424,33,0,5348,568,5916
20200511,CT,33765,98743,None,1212,9389,None,None,None,None,5413,3008,9389,132508,132508,132508,41,0,2105,211,2316
20200510,CT,33554,96638,None,1242,9389,None,None,None,None,5413,2967,9389,130192,130192,130192,35,0,6053,570,6623
20200509,CT,32984,90585,None,1301,9389,None,None,None,None,5413,2932,9389,123569,123569,123569,58,0,2455,573,3028
20200508,CT,32411,88130,None,1327,9389,None,None,None,None,5413,2874,9389,120541,120541,120541,77,0,3740,627,4367
20200507,CT,31784,84390,None,1385,9389,None,None,None,None,5413,2797,9389,116174,116174,116174,79,1631,3938,789,4727
20200506,CT,30995,80452,None,1445,7758,None,None,None,None,4346,2718,7758,111447,111447,111447,85,0,2430,374,2804
20200505,CT,30621,78022,None,1500,7758,None,None,None,None,4346,2633,7758,108643,108643,108643,138,0,4816,1334,6150
20200504,CT,29287,73206,None,1488,7758,None,None,None,None,4346,2495,7758,102493,102493,102493,59,0,0,0,0
20200503,CT,29287,73206,None,1551,7758,None,None,None,None,4346,2436,7758,102493,102493,102493,97,0,1713,523,2236
20200502,CT,28764,71493,None,1592,7758,None,None,None,None,4346,2339,7758,100257,100257,100257,0,0,0,0,0
20200501,CT,28764,71493,None,1592,7758,None,None,None,None,4346,2339,7758,100257,100257,100257,82,7758,2060,1064,3124
20200430,CT,27700,69433,None,1650,None,None,None,None,None,None,2257,None,97133,97133,97133,89,0,1382,933,2315
20200429,CT,26767,68051,None,1691,None,None,None,None,None,None,2168,None,94818,94818,94818,79,0,1618,455,2073
20200428,CT,26312,66433,None,1732,None,None,None,None,None,None,2089,None,92745,92745,92745,91,0,11891,1043,12934
20200427,CT,25269,54542,None,1758,None,None,None,None,None,None,1998,None,79811,79811,79811,74,0,0,0,0
20200426,CT,25269,54542,None,1766,None,None,None,None,None,None,1924,None,79811,79811,79811,62,0,1522,687,2209
20200425,CT,24582,53020,None,1810,None,None,None,None,None,None,1862,None,77602,77602,77602,98,0,2903,661,3564
20200424,CT,23921,50117,None,1877,None,None,None,None,None,None,1764,None,74038,74038,74038,125,0,1720,821,2541
20200423,CT,23100,48397,None,1947,None,None,None,None,None,None,1639,None,71497,71497,71497,95,0,948,631,1579
20200422,CT,22469,47449,None,1972,None,None,None,None,None,None,1544,None,69918,69918,69918,121,0,3617,2109,5726
20200421,CT,20360,43832,None,1949,None,None,None,None,None,None,1423,None,64192,64192,64192,92,0,841,545,1386
20200420,CT,19815,42991,None,1919,None,None,None,None,None,None,1331,None,62806,62806,62806,245,0,2328,2265,4593
20200419,CT,17550,40663,None,1938,None,None,None,None,None,None,1086,None,58213,58213,58213,50,0,2010,741,2751
20200418,CT,16809,38653,None,1946,None,None,None,None,None,None,1036,None,55462,55462,55462,0,0,0,0,0
20200417,CT,16809,38653,None,1946,None,None,None,None,None,None,1036,None,55462,55462,55462,65,0,1415,925,2340
20200416,CT,15884,37238,None,1926,None,None,None,None,None,None,971,None,53122,53122,53122,103,0,1850,1129,2979
20200415,CT,14755,35388,None,1908,None,None,None,None,None,None,868,None,50143,50143,50143,197,0,3536,766,4302
20200414,CT,13989,31852,None,1779,None,None,None,None,None,None,671,None,45841,45841,45841,69,0,924,608,1532
20200413,CT,13381,30928,None,1760,None,None,None,None,None,None,602,None,44309,44309,44309,48,0,1743,1346,3089
20200412,CT,12035,29185,None,1654,None,None,None,None,None,None,554,None,41220,41220,41220,60,0,864,525,1389
20200411,CT,11510,28321,None,1593,None,None,None,None,None,None,494,None,39831,39831,39831,46,0,2571,972,3543
20200410,CT,10538,25750,None,1562,None,None,None,None,None,None,448,None,36288,36288,36288,68,0,2032,754,2786
20200409,CT,9784,23718,None,1464,None,None,None,None,None,None,380,None,33502,33502,33502,103,0,2463,2003,4466
20200408,CT,7781,21255,None,1308,None,None,None,None,None,None,277,None,29036,29036,29036,0,0,0,0,0
20200407,CT,7781,21255,None,1308,None,None,None,None,None,None,277,None,29036,29036,29036,71,0,1475,875,2350
20200406,CT,6906,19780,None,1221,None,None,None,None,None,None,206,None,26686,26686,26686,17,0,2185,1231,3416
20200405,CT,5675,17595,None,1142,None,None,None,None,None,None,189,None,23270,23270,23270,24,0,842,399,1241
20200404,CT,5276,16753,None,1033,None,None,None,None,None,None,165,None,22029,22029,22029,34,0,1652,362,2014
20200403,CT,4914,15101,None,909,None,None,None,None,None,None,131,None,20015,20015,20015,19,0,625,1090,1715
20200402,CT,3824,14476,None,827,None,None,None,None,None,None,112,None,18300,18300,18300,27,0,1433,267,1700
20200401,CT,3557,13043,None,766,None,None,None,None,None,None,85,None,16600,16600,16600,16,0,14,429,443
20200331,CT,3128,13029,None,608,None,None,None,None,None,None,69,None,16157,16157,16157,33,0,1000,557,1557
20200330,CT,2571,12029,None,517,None,None,None,None,None,None,36,None,14600,14600,14600,2,0,2122,578,2700
20200329,CT,1993,9907,None,404,None,None,None,None,None,None,34,None,11900,11900,11900,7,0,2798,702,3500
20200328,CT,1291,7109,None,173,None,None,None,None,None,None,27,None,8400,8400,8400,0,0,0,0,0
20200327,CT,1291,7109,None,173,None,None,None,None,None,None,27,None,8400,8400,8400,6,0,1484,279,1763
