date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,DC,7434,31940,None,375,None,None,None,77,None,1040,400,None,39374,39374,39374,8,0,1385,164,1549
20200518,DC,7270,30555,None,374,None,None,None,70,None,1028,392,None,37825,37825,37825,9,0,1152,147,1299
20200517,DC,7123,29403,None,369,None,None,None,74,None,1023,383,None,36526,36526,36526,8,0,913,81,994
20200516,DC,7042,28490,None,382,None,None,None,79,None,998,375,None,35532,35532,35532,7,0,1022,171,1193
20200515,DC,6871,27468,None,393,None,None,None,90,None,975,368,None,34339,34339,34339,10,0,1205,135,1340
20200514,DC,6736,26263,None,397,None,None,None,90,None,966,358,None,32999,32999,32999,8,0,1189,152,1341
20200513,DC,6584,25074,None,423,None,None,None,82,None,934,350,None,31658,31658,31658,14,0,509,99,608
20200512,DC,6485,24565,None,416,None,None,None,82,None,886,336,None,31050,31050,31050,8,0,693,96,789
20200511,DC,6389,23872,None,416,None,None,None,82,None,881,328,None,30261,30261,30261,5,0,574,117,691
20200510,DC,6272,23298,None,447,None,130,None,91,None,880,323,None,29570,29570,29570,12,0,1217,170,1387
20200509,DC,6102,22081,None,447,None,130,None,91,None,879,311,None,28183,28183,28183,7,0,865,203,1068
20200508,DC,5899,21216,None,447,None,130,None,91,None,825,304,None,27115,27115,27115,19,0,1014,245,1259
20200507,DC,5654,20202,None,447,None,130,None,91,None,825,285,None,25856,25856,25856,8,0,679,193,872
20200506,DC,5461,19523,None,447,None,130,None,91,None,808,277,None,24984,24984,24984,13,0,516,139,655
20200505,DC,5322,19007,None,447,None,130,None,91,None,667,264,None,24329,24329,24329,6,0,382,152,534
20200504,DC,5170,18625,None,447,None,130,None,91,None,666,258,None,23795,23795,23795,7,0,539,154,693
20200503,DC,5016,18086,None,None,None,None,None,None,None,666,251,None,23102,23102,23102,11,0,879,219,1098
20200502,DC,4797,17207,None,None,None,None,None,None,None,666,240,None,22004,22004,22004,9,0,730,139,869
20200501,DC,4658,16477,None,None,None,None,None,None,None,666,231,None,21135,21135,21135,7,0,721,335,1056
20200430,DC,4323,15756,None,None,None,None,None,None,None,660,224,None,20079,20079,20079,19,0,633,217,850
20200429,DC,4106,15123,None,None,None,None,None,None,None,660,205,None,19229,19229,19229,15,0,232,112,344
20200428,DC,3994,14891,None,None,None,None,None,None,None,660,190,None,18885,18885,18885,5,0,367,102,469
20200427,DC,3892,14524,None,402,None,None,None,None,None,659,185,None,18416,18416,18416,7,0,297,51,348
20200426,DC,3841,14227,None,402,None,120,None,69,None,657,178,None,18068,18068,18068,13,0,624,142,766
20200425,DC,3699,13603,None,402,None,120,None,69,None,652,165,None,17302,17302,17302,12,0,598,171,769
20200424,DC,3528,13005,None,402,None,120,None,69,None,651,153,None,16533,16533,16533,14,0,436,167,603
20200423,DC,3361,12569,None,402,None,120,None,200,None,648,139,None,15930,15930,15930,12,0,273,155,428
20200422,DC,3206,12296,None,402,None,120,None,69,None,645,127,None,15502,15502,15502,15,0,455,108,563
20200421,DC,3098,11841,None,402,None,120,None,69,None,636,112,None,14939,14939,14939,7,0,655,171,826
20200420,DC,2927,11186,None,402,None,120,None,69,None,630,105,None,14113,14113,14113,9,0,280,134,414
20200419,DC,2793,10906,None,313,None,105,None,79,None,622,96,None,13699,13699,13699,5,0,304,127,431
20200418,DC,2666,10602,None,313,None,105,None,79,None,608,91,None,13268,13268,13268,5,0,435,190,625
20200417,DC,2476,10167,None,313,None,105,None,79,None,573,86,None,12643,12643,12643,5,0,367,126,493
20200416,DC,2350,9800,None,313,None,105,None,79,None,552,81,None,12150,12150,12150,9,0,472,153,625
20200415,DC,2197,9328,None,313,None,105,None,79,None,530,72,None,11525,11525,11525,5,0,102,139,241
20200414,DC,2058,9226,None,295,None,95,None,31,None,518,67,None,11284,11284,11284,14,0,247,103,350
20200413,DC,1955,8979,None,295,None,95,None,31,None,507,53,None,10934,10934,10934,3,0,214,80,294
20200412,DC,1875,8765,None,None,None,None,None,None,None,493,50,None,10640,10640,10640,3,0,504,97,601
20200411,DC,1778,8261,None,None,None,None,None,None,None,447,47,None,10039,10039,10039,9,0,566,118,684
20200410,DC,1660,7695,None,None,None,None,None,None,None,426,38,None,9355,9355,9355,6,0,494,137,631
20200409,DC,1523,7201,None,None,None,None,None,None,None,393,32,None,8724,8724,8724,5,0,358,83,441
20200408,DC,1440,6843,None,None,None,None,None,None,None,361,27,None,8283,8283,8283,5,0,231,229,460
20200407,DC,1211,6612,None,None,None,None,None,None,None,318,22,None,7823,7823,7823,-2,0,256,114,370
20200406,DC,1097,6356,None,None,None,None,None,None,None,287,24,None,7453,7453,7453,2,0,520,99,619
20200405,DC,998,5836,None,None,None,None,None,None,None,258,22,None,6834,6834,6834,1,0,300,96,396
20200404,DC,902,5536,None,None,None,None,None,None,None,235,21,None,6438,6438,6438,6,0,709,145,854
20200403,DC,757,4827,None,None,None,None,None,None,None,206,15,None,5584,5584,5584,3,0,410,104,514
20200402,DC,653,4417,None,None,None,None,None,None,None,173,12,None,5070,5070,5070,1,0,1155,67,1222
20200401,DC,586,3262,2,None,None,None,None,None,None,142,11,None,3850,3848,3848,2,0,0,91,91
20200331,DC,495,3262,2,None,None,None,None,None,None,121,9,None,3759,3757,3757,0,0,580,94,674
20200330,DC,401,2682,2,None,None,None,None,None,None,106,9,None,3085,3083,3083,4,0,213,59,272
20200329,DC,342,2469,1,None,None,None,None,None,None,66,5,None,2812,2811,2811,1,0,258,38,296
20200328,DC,304,2211,1,None,None,None,None,None,None,51,4,None,2516,2515,2515,1,0,314,37,351
20200327,DC,267,1897,2,None,None,None,None,None,None,49,3,None,2166,2164,2164,0,0,271,36,307
20200326,DC,231,1626,1,None,None,None,None,None,None,21,3,None,1858,1857,1857,1,0,203,48,251
20200325,DC,183,1423,3,None,None,None,None,None,None,None,2,None,1609,1606,1606,0,0,228,46,274
20200324,DC,137,1195,2,None,None,None,None,None,None,None,2,None,1334,1332,1332,0,0,82,21,103
20200323,DC,116,1113,None,None,None,None,None,None,None,None,2,None,1229,1229,1229,1,0,156,18,174
20200322,DC,98,957,None,None,None,None,None,None,None,None,1,None,1055,1055,1055,0,0,451,21,472
20200321,DC,77,506,0,None,None,None,None,None,None,None,1,None,583,583,583,0,0,5,6,11
20200320,DC,71,501,1,None,None,None,None,None,None,None,1,None,573,572,572,1,0,348,32,380
20200319,DC,39,153,11,None,None,None,None,None,None,None,0,None,203,192,192,0,0,15,8,23
20200318,DC,31,138,1,None,None,None,None,None,None,None,None,None,170,169,169,0,0,34,9,43
