date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,GA,38721,339435,None,986,7027,None,1589,None,None,None,1664,7027,378156,378156,378156,22,111,13227,640,13867
20200518,GA,38081,326208,None,1025,6916,None,1565,None,None,None,1642,6916,364289,364289,364289,36,126,12734,380,13114
20200517,GA,37701,313474,None,1010,6790,None,1557,None,None,None,1606,6790,351175,351175,351175,14,55,29552,554,30106
20200516,GA,37147,283922,None,1005,6735,None,1554,None,None,None,1592,6735,321069,321069,321069,35,297,18729,466,19195
20200515,GA,36681,265193,None,None,6438,None,1534,None,None,None,1557,6438,301874,301874,301874,30,93,15170,823,15993
20200514,GA,35858,250023,None,None,6345,None,1513,None,None,None,1527,6345,285881,285881,285881,22,86,11451,526,11977
20200513,GA,35332,238572,None,None,6259,None,1494,None,None,None,1505,6259,273904,273904,273904,44,129,11028,697,11725
20200512,GA,34635,227544,None,None,6130,None,1443,None,None,None,1461,6130,262179,262179,262179,20,115,10183,708,10891
20200511,GA,33927,217361,None,None,6015,None,1414,None,None,None,1441,6015,251288,251288,251288,36,18,7255,486,7741
20200510,GA,33441,210106,None,None,5997,None,1412,None,None,None,1405,5997,243547,243547,243547,5,10,7314,909,8223
20200509,GA,32532,202792,None,None,5987,None,1409,None,None,None,1400,5987,235324,235324,235324,23,52,7331,426,7757
20200508,GA,32106,195461,None,None,5935,None,1399,None,None,None,1377,5935,227567,227567,227567,41,100,9597,667,10264
20200507,GA,31439,185864,None,None,5835,None,1374,None,None,None,1336,5835,217303,217303,217303,25,70,12423,743,13166
20200506,GA,30696,173441,None,None,5765,None,1343,None,None,None,1311,5765,204137,204137,204137,23,131,2269,985,3254
20200505,GA,29711,171172,None,None,5634,None,1318,None,None,None,1288,5634,200883,200883,200883,66,108,17215,343,17558
20200504,GA,29368,153957,None,None,5526,None,1284,None,None,None,1222,5526,183325,183325,183325,45,133,7463,766,8229
20200503,GA,28602,146494,None,None,5393,None,1249,None,None,None,1177,5393,175096,175096,175096,3,6,0,296,296
20200502,GA,28306,146494,None,None,5387,None,1247,None,None,None,1174,5387,174800,174800,174800,20,118,5397,1036,6433
20200501,GA,27270,141097,None,None,5269,None,1215,None,None,None,1154,5269,168367,168367,168367,34,113,18208,1115,19323
20200430,GA,26155,122889,None,None,5156,None,1171,None,None,None,1120,5156,149044,149044,149044,27,100,4522,583,5105
20200429,GA,25572,118367,None,None,5056,None,1148,None,None,None,1093,5056,143939,143939,143939,67,242,2962,957,3919
20200428,GA,24615,115405,None,None,4814,None,1087,None,None,None,1026,4814,140020,140020,140020,55,133,12149,702,12851
20200427,GA,23913,103256,None,None,4681,None,1057,None,None,None,971,4681,127169,127169,127169,59,322,3434,512,3946
20200426,GA,23401,99822,None,None,4359,None,None,None,None,None,912,4359,123223,123223,123223,8,33,3503,706,4209
20200425,GA,22695,96319,None,None,4326,None,None,None,None,None,904,4326,119014,119014,119014,12,105,11290,548,11838
