date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,GU,154,4673,None,None,None,None,None,None,None,126,5,None,4827,4827,4827,0,0,104,0,104
20200518,GU,154,4569,None,None,None,None,None,None,None,126,5,None,4723,4723,4723,0,0,119,0,119
20200517,GU,154,4450,None,None,None,None,None,None,None,126,5,None,4604,4604,4604,0,0,85,0,85
20200516,GU,154,4365,None,None,None,None,None,None,None,126,5,None,4519,4519,4519,0,0,4,0,4
20200515,GU,154,4361,None,None,None,None,None,None,None,124,5,None,4515,4515,4515,0,0,135,1,136
20200514,GU,153,4226,None,None,None,None,None,None,None,124,5,None,4379,4379,4379,0,0,116,1,117
20200513,GU,152,4110,None,None,None,None,None,None,None,124,5,None,4262,4262,4262,0,0,171,0,171
20200512,GU,152,3939,None,None,None,None,None,None,None,124,5,None,4091,4091,4091,0,0,101,1,102
20200511,GU,151,3838,None,None,None,None,None,None,None,124,5,None,3989,3989,3989,0,0,195,0,195
20200510,GU,151,3643,None,None,None,None,None,None,None,124,5,None,3794,3794,3794,0,0,0,0,0
20200509,GU,151,3643,None,None,None,None,None,None,None,124,5,None,3794,3794,3794,0,0,17,0,17
20200508,GU,151,3626,None,None,None,None,None,None,None,122,5,None,3777,3777,3777,0,0,62,0,62
20200507,GU,151,3564,None,None,None,None,None,None,None,123,5,None,3715,3715,3715,0,0,88,0,88
20200506,GU,151,3476,None,None,None,None,None,None,None,123,5,None,3627,3627,3627,0,0,135,2,137
20200505,GU,149,3341,None,None,None,None,None,None,None,124,5,None,3490,3490,3490,0,0,99,0,99
20200504,GU,149,3242,None,None,None,None,None,None,None,125,5,None,3391,3391,3391,0,0,90,-1,89
20200503,GU,150,3152,None,None,None,None,None,None,None,126,5,None,3302,3302,3302,0,0,112,2,114
20200502,GU,148,3040,None,None,None,None,None,None,None,131,5,None,3188,3188,3188,0,0,181,2,183
20200501,GU,146,2859,None,None,None,None,None,None,None,131,5,None,3005,3005,3005,0,0,897,0,897
20200430,GU,146,1962,None,None,None,None,None,None,None,131,5,None,2108,2108,2108,0,0,260,1,261
20200429,GU,145,1702,None,None,None,None,None,None,None,130,5,None,1847,1847,1847,0,0,164,0,164
20200428,GU,145,1538,None,3,None,None,None,None,None,129,5,None,1683,1683,1683,0,0,114,1,115
20200427,GU,144,1424,None,3,None,None,None,None,None,128,5,None,1568,1568,1568,0,0,37,3,40
20200426,GU,141,1387,None,2,None,None,None,None,None,128,5,None,1528,1528,1528,0,0,79,0,79
20200425,GU,141,1308,None,2,None,None,None,None,None,128,5,None,1449,1449,1449,0,0,75,0,75
20200424,GU,141,1233,None,2,None,None,None,None,None,126,5,None,1374,1374,1374,0,0,53,6,59
20200423,GU,135,1180,None,2,None,None,None,None,None,126,5,None,1315,1315,1315,0,0,94,1,95
20200422,GU,134,1086,None,3,None,2,None,None,None,119,5,None,1220,1220,1220,0,0,53,1,54
20200421,GU,133,1033,None,3,None,2,None,None,None,114,5,None,1166,1166,1166,0,0,42,0,42
20200420,GU,133,991,None,3,None,2,None,None,None,112,5,None,1124,1124,1124,0,0,48,0,48
