date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,IA,15349,92299,None,383,None,126,None,83,None,8130,372,None,107648,107648,107648,17,0,4106,394,4500
20200518,IA,14955,88193,None,382,None,121,None,85,None,7324,355,None,103148,103148,103148,4,0,2603,304,2907
20200517,IA,14651,85590,None,376,None,124,None,85,None,7154,351,None,100241,100241,100241,5,0,3618,323,3941
20200516,IA,14328,81972,None,387,None,128,None,83,None,6927,346,None,96300,96300,96300,10,0,2455,279,2734
20200515,IA,14049,79517,None,387,None,130,None,87,None,6561,336,None,93566,93566,93566,18,0,3898,374,4272
20200514,IA,13675,75619,None,405,None,134,None,93,None,6231,318,None,89294,89294,89294,12,0,3189,386,3575
20200513,IA,13289,72430,None,388,None,133,None,101,None,5954,306,None,85719,85719,85719,17,0,4054,377,4431
20200512,IA,12912,68376,None,385,None,143,None,101,None,5618,289,None,81288,81288,81288,18,0,2957,539,3496
20200511,IA,12373,65419,None,394,None,152,None,107,None,5249,271,None,77792,77792,77792,6,0,3204,414,3618
20200510,IA,11959,62215,None,413,None,157,None,105,None,5154,265,None,74174,74174,74174,13,0,2410,288,2698
20200509,IA,11671,59805,None,402,None,161,None,106,None,5011,252,None,71476,71476,71476,9,0,1001,214,1215
20200508,IA,11457,58804,None,407,None,164,None,109,None,4685,243,None,70261,70261,70261,12,0,3436,398,3834
20200507,IA,11059,55368,None,417,None,151,None,107,None,4266,231,None,66427,66427,66427,12,0,2601,655,3256
20200506,IA,10404,52767,None,414,None,151,None,103,None,3803,219,None,63171,63171,63171,12,0,2309,293,2602
20200505,IA,10111,50458,None,407,None,152,None,94,None,3572,207,None,60569,60569,60569,19,0,3000,408,3408
20200504,IA,9703,47458,None,389,None,143,None,93,None,3486,188,None,57161,57161,57161,4,0,3441,534,3975
20200503,IA,9169,44017,None,378,None,133,None,93,None,3325,184,None,53186,53186,53186,9,0,6309,528,6837
20200502,IA,8641,37708,None,353,None,131,None,90,None,3156,175,None,46349,46349,46349,5,0,0,757,757
20200501,IA,7884,37708,None,345,None,121,None,91,None,2899,170,None,45592,45592,45592,8,0,2186,739,2925
20200430,IA,7145,35522,None,335,None,121,None,86,None,2697,162,None,42667,42667,42667,14,0,1028,302,1330
20200429,IA,6843,34494,None,323,None,100,None,74,None,2428,148,None,41337,41337,41337,12,0,1047,467,1514
20200428,IA,6376,33447,None,304,None,98,None,64,None,2164,136,None,39823,39823,39823,9,0,1165,508,1673
20200427,IA,5868,32282,None,300,None,100,None,58,None,2021,127,None,38150,38150,38150,9,0,1668,392,2060
20200426,IA,5476,30614,None,286,None,99,None,55,None,1900,118,None,36090,36090,36090,6,0,1356,384,1740
20200425,IA,5092,29258,None,293,None,108,None,60,None,1723,112,None,34350,34350,34350,5,0,1730,647,2377
