date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200506,IL,68232,293028,None,4832,None,1231,None,780,None,None,2974,None,361260,361260,361260,136,0,12704,2270,14974
20200505,IL,65962,280324,None,4780,None,1266,None,780,None,None,2838,None,346286,346286,346286,176,0,11017,2122,13139
20200504,IL,63840,269307,None,4493,None,1232,None,763,None,None,2662,None,333147,333147,333147,44,0,11493,2341,13834
20200503,IL,61499,257814,None,4701,None,1232,None,759,None,None,2618,None,319313,319313,319313,59,0,16423,2994,19417
20200502,IL,58505,241391,None,4717,None,1250,None,789,None,None,2559,None,299896,299896,299896,102,0,12758,2450,15208
20200501,IL,56055,228633,None,4900,None,1263,None,777,None,None,2457,None,284688,284688,284688,102,0,11684,3137,14821
20200430,IL,52918,216949,None,4953,None,1289,None,785,None,None,2355,None,269867,269867,269867,140,0,10637,2563,13200
20200429,IL,50355,206312,None,5036,None,1290,None,777,None,None,2215,None,256667,256667,256667,90,0,12225,2253,14478
20200428,IL,48102,194087,None,4738,None,1245,None,778,None,None,2125,None,242189,242189,242189,142,0,12342,2219,14561
20200427,IL,45883,181745,None,4672,None,1249,None,763,None,None,1983,None,227628,227628,227628,50,0,10696,1980,12676
20200426,IL,43903,171049,None,4595,None,1267,None,772,None,None,1933,None,214952,214952,214952,59,0,11209,2126,13335
20200425,IL,41777,159840,None,4699,None,1244,None,763,None,None,1874,None,201617,201617,201617,79,0,9866,2119,11985
20200424,IL,39658,149974,None,4828,None,1225,None,709,None,None,1795,None,189632,189632,189632,107,0,13592,2724,16316
20200423,IL,36934,136382,None,4877,None,1268,None,766,None,None,1688,None,173316,173316,173316,123,0,7144,1826,8970
20200422,IL,35108,129238,None,4665,None,1220,None,747,None,None,1565,None,164346,164346,164346,97,0,7300,2049,9349
20200421,IL,33059,121938,None,4776,None,1226,None,781,None,None,1468,None,154997,154997,154997,119,0,5088,1551,6639
20200420,IL,31508,116850,None,4599,None,1239,None,757,None,None,1349,None,148358,148358,148358,59,0,3889,1151,5040
20200419,IL,30357,112961,None,4314,None,1196,None,749,None,None,1290,None,143318,143318,143318,31,0,4717,1197,5914
20200418,IL,29160,108244,None,4340,None,1192,None,740,None,None,1259,None,137404,137404,137404,125,0,5656,1585,7241
20200417,IL,27575,102588,None,4454,None,1196,None,777,None,None,1134,None,130163,130163,130163,62,0,5732,1842,7574
20200416,IL,25733,96856,None,4423,None,1248,None,797,None,None,1072,None,122589,122589,122589,124,0,4520,1140,5660
20200415,IL,24593,92336,None,4283,None,1189,None,796,None,None,948,None,116929,116929,116929,80,0,4967,1346,6313
20200414,IL,23247,87369,None,4283,None,1189,None,796,None,None,868,None,110616,110616,110616,74,0,3626,1222,4848
20200413,IL,22025,83743,None,3680,None,1166,None,821,None,None,794,None,105768,105768,105768,74,0,3860,1173,5033
20200412,IL,20852,79883,None,3680,None,1166,None,821,None,None,720,None,100735,100735,100735,43,0,6914,1672,8586
