date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,LA,35038,243035,None,1004,None,None,None,112,None,26249,2581,None,278073,278073,278073,18,0,7996,329,8325
20200518,LA,34709,235039,None,1031,None,None,None,118,None,26249,2563,None,269748,269748,269748,72,0,4301,277,4578
20200517,LA,34432,230738,None,1019,None,None,None,111,None,22608,2491,None,265170,265170,265170,12,0,5113,315,5428
20200516,LA,34117,225625,None,1028,None,None,None,123,None,22608,2479,None,259742,259742,259742,31,0,6273,280,6553
20200515,LA,33837,219352,None,1091,None,None,None,132,None,22608,2448,None,253189,253189,253189,31,0,5253,348,5601
20200514,LA,33489,214099,None,1193,None,None,None,140,None,22608,2417,None,247588,247588,247588,36,0,8857,827,9684
20200513,LA,32662,205242,None,1194,None,None,None,147,None,22608,2381,None,237904,237904,237904,34,0,9280,612,9892
20200512,LA,32050,195962,None,1320,None,None,None,146,None,22608,2347,None,228012,228012,228012,39,0,6947,235,7182
20200511,LA,31815,189015,None,1310,None,None,None,157,None,22608,2308,None,220830,220830,220830,22,0,4743,215,4958
20200510,LA,31600,184272,None,1324,None,None,None,161,None,20316,2286,None,215872,215872,215872,19,0,3532,183,3715
20200509,LA,31417,180740,None,1333,None,None,None,165,None,20316,2267,None,212157,212157,212157,40,0,9179,562,9741
20200508,LA,30855,171561,None,1359,None,None,None,185,None,20316,2227,None,202416,202416,202416,19,0,1446,203,1649
20200507,LA,30652,170115,None,1432,None,None,None,189,None,20316,2208,None,200767,200767,200767,93,0,5842,253,6095
20200506,LA,30399,164273,None,1465,None,None,None,187,None,20316,2115,None,194672,194672,194672,0,0,6038,403,6441
20200505,LA,29996,158235,None,1512,None,None,None,194,None,20316,2115,None,188231,188231,188231,51,0,6977,323,7300
20200504,LA,29673,151258,None,1502,None,None,None,220,None,20316,2064,None,180931,180931,180931,95,0,4438,333,4771
20200503,LA,29340,146820,None,1530,None,None,None,213,None,17303,1969,None,176160,176160,176160,19,0,3102,200,3302
