date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200506,MA,72025,267614,None,3564,7080,922,None,None,None,None,4420,7080,339639,339639,339639,208,249,4536,1754,6290
20200505,MA,70271,263078,None,3542,6831,914,None,None,None,None,4212,6831,333349,333349,333349,122,209,7897,1184,9081
20200504,MA,69087,255181,None,3539,6622,908,None,None,None,None,4090,6622,324268,324268,324268,86,115,8622,1000,9622
20200503,MA,68087,246559,None,3617,6507,904,None,None,None,None,4004,6507,314646,314646,314646,158,129,13828,1824,15652
20200502,MA,66263,232731,None,3601,6378,921,None,None,None,None,3846,6378,298994,298994,298994,130,209,7406,1952,9358
20200501,MA,64311,225325,None,3716,6169,947,None,None,None,None,3716,6169,289636,289636,289636,154,227,11883,2106,13989
20200430,MA,62205,213442,None,3803,5942,1001,None,None,None,None,3562,5942,275647,275647,275647,157,184,8089,1940,10029
20200429,MA,60265,205353,None,3856,5758,1011,None,None,None,None,3405,5758,265618,265618,265618,252,243,9155,1963,11118
20200428,MA,58302,196198,None,3875,5515,1005,None,None,None,None,3153,5515,254500,254500,254500,150,278,7773,1840,9613
20200427,MA,56462,188425,None,3892,5237,1089,None,None,None,None,3003,5237,244887,244887,244887,104,133,7263,1524,8787
20200426,MA,54938,181162,None,3879,5104,1077,None,None,None,None,2899,5104,236100,236100,236100,22,139,7665,1590,9255
20200425,MA,53348,173497,None,3879,4965,1058,None,None,None,None,2877,4965,226845,226845,226845,0,213,9253,2379,11632
20200424,MA,50969,164244,None,3847,4752,1034,None,None,None,None,2877,4752,215213,215213,215213,108,259,7920,2977,10897
20200423,MA,47992,156324,None,3851,4493,1034,None,None,None,None,2769,4493,204316,204316,204316,172,237,11535,3079,14614
20200422,MA,44913,144789,None,3890,4256,1050,None,None,None,None,2597,4256,189702,189702,189702,148,247,3345,1745,5090
20200421,MA,43168,141444,None,3977,4009,1040,None,None,None,None,2449,4009,184612,184612,184612,146,137,5398,1752,7150
20200420,MA,41416,136046,None,3872,3872,987,None,None,None,None,2303,3872,177462,177462,177462,157,83,6751,1596,8347
20200419,MA,39820,129295,None,3789,3789,987,None,None,None,None,2146,3789,169115,169115,169115,163,61,4691,2293,6984
20200418,MA,37527,124604,None,3728,3728,987,None,None,None,None,1983,3728,162131,162131,162131,161,-28,7409,2402,9811
20200417,MA,35125,117195,None,3756,3756,987,None,None,None,None,1822,3756,152320,152320,152320,155,30,7097,2633,9730
20200416,MA,32492,110098,None,3726,3726,973,None,None,None,None,1667,3726,142590,142590,142590,165,89,7308,2522,9830
20200415,MA,29970,102790,None,3637,3637,973,None,None,None,None,1502,3637,132760,132760,132760,173,21,3970,1861,5831
20200414,MA,28109,98820,None,3616,3616,None,None,None,None,None,1329,3616,126929,126929,126929,118,131,3320,1315,4635
20200413,MA,26794,95500,None,3485,3485,None,None,None,None,None,1211,3485,122294,122294,122294,155,971,4037,1413,5450
20200412,MA,25381,91463,None,2514,2514,None,None,None,None,None,1056,2514,116844,116844,116844,110,7,5348,2615,7963
20200411,MA,22766,86115,None,2507,2507,None,None,None,None,None,946,2507,108881,108881,108881,114,72,4551,1888,6439
20200410,MA,20878,81564,None,2435,2435,None,None,None,None,None,832,2435,102442,102442,102442,107,133,5418,2035,7453
20200409,MA,18843,76146,None,2302,2302,None,None,None,None,None,725,2302,94989,94989,94989,110,183,5297,2151,7448
20200408,MA,16692,70849,None,2119,2119,None,None,None,None,None,615,2119,87541,87541,87541,100,288,4579,1588,6167
20200407,MA,15104,66270,None,1831,1831,None,None,None,None,None,515,1831,81374,81374,81374,67,164,3550,1365,4915
20200406,MA,13739,62720,None,1667,1667,None,None,None,None,None,448,1667,76459,76459,76459,78,35,3155,1337,4492
20200405,MA,12402,59565,None,1632,1632,None,None,None,None,None,370,1632,71967,71967,71967,66,262,2374,765,3139
20200404,MA,11637,57191,None,1370,1370,None,None,None,None,None,304,1370,68828,68828,68828,39,404,4506,1334,5840
20200403,MA,10303,52685,None,None,966,None,None,None,None,None,265,966,62988,62988,62988,36,153,4918,1436,6354
20200402,MA,8867,47767,None,None,813,None,None,None,None,None,229,813,56634,56634,56634,42,131,3642,1228,4870
20200401,MA,7639,44125,None,None,682,None,None,None,None,None,187,682,51764,51764,51764,34,120,3685,1118,4803
20200331,MA,6521,40440,None,None,562,None,None,None,None,None,153,562,46961,46961,46961,29,109,3274,868,4142
20200330,MA,5653,37166,None,None,453,None,None,None,None,None,124,453,42819,42819,42819,25,54,2932,797,3729
20200329,MA,4856,34234,None,None,399,None,None,None,None,None,99,399,39090,39090,39090,27,49,3319,698,4017
20200328,MA,4158,30915,None,None,350,None,None,None,None,None,72,350,35073,35073,35073,15,131,4671,1007,5678
20200327,MA,3151,26244,None,None,219,None,None,None,None,None,57,219,29395,29395,29395,15,0,4917,833,5750
20200326,MA,2318,21327,None,None,219,None,None,None,None,None,42,219,23645,23645,23645,9,116,3248,579,3827
20200325,MA,1739,18079,None,None,103,None,None,None,None,None,33,103,19818,19818,19818,7,9,5365,679,6044
20200324,MA,1060,12714,None,None,94,None,None,None,None,None,26,94,13774,13774,13774,9,15,4451,382,4833
20200323,MA,678,8263,None,None,79,None,None,None,None,None,17,79,8941,8941,8941,6,8,2787,131,2918
20200322,MA,547,5476,None,None,71,None,None,None,None,None,11,71,6023,6023,6023,4,10,677,121,798
20200321,MA,426,4799,None,None,61,None,None,None,None,None,7,61,5225,5225,5225,2,61,1004,112,1116
20200320,MA,314,3795,None,None,None,None,None,None,None,None,5,None,4109,4109,4109,2,0,877,85,962
20200319,MA,229,2918,None,None,None,None,None,None,None,None,3,None,3147,3147,3147,1,0,803,73,876
20200318,MA,156,2115,None,None,None,None,None,None,None,None,2,None,2271,2271,2271,2,0,482,38,520
20200317,MA,118,1633,None,None,None,None,None,None,None,None,None,None,1751,1751,1751,0,0,434,21,455
20200316,MA,97,1199,None,None,None,None,None,None,None,None,None,None,1296,1296,1296,0,0,615,33,648
20200315,MA,64,584,None,None,None,None,None,None,None,None,None,None,648,648,648,0,0,584,26,610
20200314,MA,38,None,None,None,None,None,None,None,None,None,None,None,38,38,38,0,0,0,15,15
20200313,MA,23,None,None,None,None,None,None,None,None,None,None,None,23,23,23,0,0,0,15,15
20200312,MA,8,None,None,None,None,None,None,None,None,None,None,None,8,8,8,None,None,None,None,None
