date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,MD,41546,167112,None,1421,7199,537,None,None,None,2868,2081,7199,208658,208658,208658,58,113,5368,1784,7152
20200518,MD,39762,161744,None,1447,7086,555,None,None,None,2817,2023,7086,201506,201506,201506,31,93,5622,958,6580
20200517,MD,38804,156122,None,1460,6993,562,None,None,None,2816,1992,6993,194926,194926,194926,35,238,3915,836,4751
20200516,MD,37968,152207,None,1500,6755,598,None,None,None,2806,1957,6755,190175,190175,190175,46,76,6367,982,7349
20200515,MD,36986,145840,None,1496,6679,598,None,None,None,2685,1911,6679,182826,182826,182826,45,126,3289,1083,4372
20200514,MD,35903,142551,None,1538,6553,569,None,None,None,2569,1866,6553,178454,178454,178454,57,149,3789,1091,4880
20200513,MD,34812,138762,None,1550,6404,572,None,None,None,2456,1809,6404,173574,173574,173574,53,117,3320,751,4071
20200512,MD,34061,135442,None,1563,6287,590,None,None,None,2394,1756,6287,169503,169503,169503,73,104,4035,688,4723
20200511,MD,33373,131407,None,1544,6183,585,None,None,None,2298,1683,6183,164780,164780,164780,39,228,4063,786,4849
20200510,MD,32587,127344,None,1640,5955,611,None,None,None,2293,1644,5955,159931,159931,159931,30,23,2850,1053,3903
20200509,MD,31534,124494,None,1665,5932,575,None,None,None,2159,1614,5932,156028,156028,156028,54,121,2792,1049,3841
20200508,MD,30485,121702,None,1674,5811,571,None,None,None,2041,1560,5811,152187,152187,152187,57,148,2476,1111,3587
20200507,MD,29374,119226,None,1683,5663,584,None,None,None,2029,1503,5663,148600,148600,148600,66,166,3377,1211,4588
20200506,MD,28163,115849,None,1707,5497,584,None,None,None,1903,1437,5497,144012,144012,144012,47,160,2863,1046,3909
20200505,MD,27117,112986,None,1693,5337,573,None,None,None,1810,1390,5337,140103,140103,140103,73,138,2399,709,3108
20200504,MD,26408,110587,None,1649,5199,563,None,None,None,1695,1317,5199,136995,136995,136995,36,148,3255,946,4201
20200503,MD,25462,107332,None,1635,5051,565,None,None,None,1666,1281,5051,132794,132794,132794,30,141,6283,989,7272
20200502,MD,24473,101049,None,1657,4910,566,None,None,None,1590,1251,4910,125522,125522,125522,59,192,3538,1001,4539
20200501,MD,23472,97511,None,1668,4718,568,None,None,None,1517,1192,4718,120983,120983,120983,52,159,4894,1730,6624
20200430,MD,21742,92617,None,1711,4559,590,None,None,None,1432,1140,4559,114359,114359,114359,62,157,2537,893,3430
20200429,MD,20849,90080,None,1610,4402,586,None,None,None,1361,1078,4402,110929,110929,110929,62,134,2408,736,3144
20200428,MD,20113,87672,None,1528,4268,551,None,None,None,1295,1016,4268,107785,107785,107785,71,167,2183,626,2809
20200427,MD,19487,85489,None,1513,4101,535,None,None,None,1263,945,4101,104976,104976,104976,35,139,7405,906,8311
20200426,MD,18581,78084,None,1463,3962,530,None,None,None,1177,910,3962,96665,96665,96665,35,202,6727,815,7542
20200425,MD,17766,71357,None,1408,3760,538,None,None,None,1165,875,3760,89123,89123,89123,77,142,3257,1150,4407
20200424,MD,16616,68100,None,1425,3618,547,None,None,None,1108,798,3618,84716,84716,84716,50,141,3737,879,4616
20200423,MD,15737,64363,None,1405,3477,515,None,None,None,1040,748,3477,80100,80100,80100,50,152,2609,962,3571
20200422,MD,14775,61754,None,1432,3325,527,None,None,None,981,698,3325,76529,76529,76529,46,167,2312,582,2894
20200421,MD,14193,59442,None,1433,3158,526,None,None,None,930,652,3158,73635,73635,73635,70,144,1729,509,2238
20200420,MD,13684,57713,None,None,3014,None,None,None,None,917,582,3014,71397,71397,71397,34,128,2652,854,3506
20200419,MD,12830,55061,None,None,2886,None,None,None,None,914,548,2886,67891,67891,67891,14,129,1999,522,2521
20200418,MD,12308,53062,None,None,2757,None,None,None,None,771,534,2757,65370,65370,65370,40,145,2625,736,3361
20200417,MD,11572,50437,None,None,2612,None,None,None,None,736,494,2612,62009,62009,62009,35,161,2378,788,3166
20200416,MD,10784,48059,None,None,2451,None,None,None,None,736,459,2451,58843,58843,58843,46,220,2328,752,3080
20200415,MD,10032,45731,None,None,2231,None,None,None,None,607,413,2231,55763,55763,55763,111,109,1470,560,2030
20200414,MD,9472,44261,None,None,2122,None,None,None,None,607,302,2122,53733,53733,53733,40,147,1446,536,1982
