date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,MN,17029,144806,None,545,2221,229,750,None,None,11540,757,2221,161835,161835,161835,17,93,4572,657,5229
20200518,MN,16372,140234,None,488,2128,229,731,None,None,10764,740,2128,156606,156606,156606,9,38,5317,704,6021
20200517,MN,15668,134917,None,487,2090,221,716,None,None,10175,731,2090,150585,150585,150585,22,51,6605,699,7304
20200516,MN,14969,128312,None,493,2039,225,700,None,None,9571,709,2039,143281,143281,143281,17,54,7883,729,8612
20200515,MN,14240,120429,None,498,1985,200,679,None,None,8820,692,1985,134669,134669,134669,29,70,5112,805,5917
20200514,MN,13435,115317,None,498,1915,203,663,None,None,8473,663,1915,128752,128752,128752,25,64,6199,518,6717
20200513,MN,12917,109118,None,494,1851,199,647,None,None,8149,638,1851,122035,122035,122035,24,52,778,423,1201
20200512,MN,12494,108340,None,496,1799,199,625,None,None,7609,614,1799,120834,120834,120834,23,83,4358,695,5053
20200511,MN,11799,103982,None,452,1716,194,600,None,None,6945,591,1716,115781,115781,115781,13,59,4165,528,4693
20200510,MN,11271,99817,None,434,1657,199,581,None,None,6304,578,1657,111088,111088,111088,20,45,4344,481,4825
20200509,MN,10790,95473,None,476,1612,180,556,None,None,5764,558,1612,106263,106263,106263,24,63,4291,702,4993
20200508,MN,10088,91182,None,473,1549,198,540,None,None,5163,534,1549,101270,101270,101270,26,90,3126,723,3849
20200507,MN,9365,88056,None,435,1459,182,512,None,None,4800,508,1459,97421,97421,97421,23,54,3403,786,4189
20200506,MN,8579,84653,None,443,1405,180,488,None,None,4520,485,1405,93232,93232,93232,30,55,4495,728,5223
20200505,MN,7851,80158,None,434,1350,182,475,None,None,4159,455,1350,88009,88009,88009,27,79,1451,617,2068
20200504,MN,7234,78707,None,396,1271,166,444,None,None,3784,428,1271,85941,85941,85941,9,72,2738,571,3309
20200503,MN,6663,75969,None,373,1199,155,426,None,None,2596,419,1199,82632,82632,82632,24,40,3190,435,3625
20200502,MN,6228,72779,None,389,1159,135,404,None,None,2002,395,1159,79007,79007,79007,24,63,3680,498,4178
20200501,MN,5730,69099,None,369,1096,118,380,None,None,1911,371,1096,74829,74829,74829,28,52,3959,594,4553
20200430,MN,5136,65140,None,365,1044,130,358,None,None,1829,343,1044,70276,70276,70276,24,94,3040,492,3532
20200429,MN,4644,62100,None,320,950,119,337,None,None,1724,319,950,66744,66744,66744,18,38,2452,463,2915
20200428,MN,4181,59648,None,314,912,120,324,None,None,1611,301,912,63829,63829,63829,15,51,2196,365,2561
20200427,MN,3816,57452,None,292,861,122,316,None,None,1556,286,861,61268,61268,61268,14,32,2067,214,2281
20200426,MN,3602,55385,None,285,829,115,301,None,None,1502,272,829,58987,58987,58987,28,32,2234,156,2390
20200425,MN,3446,53151,None,288,797,109,291,None,None,1410,244,797,56597,56597,56597,23,41,2549,261,2810
20200424,MN,3185,50602,None,278,756,111,281,None,None,1373,221,756,53787,53787,53787,21,44,1996,243,2239
20200423,MN,2942,48606,None,268,712,104,274,None,None,1336,200,712,51548,51548,51548,21,52,1983,221,2204
20200422,MN,2721,46623,None,240,660,107,262,None,None,1138,179,660,49344,49344,49344,19,31,1493,154,1647
20200421,MN,2567,45130,None,237,629,117,253,None,None,1094,160,629,47697,47697,47697,17,27,750,97,847
20200420,MN,2470,44380,None,237,602,126,241,None,None,1059,143,602,46850,46850,46850,9,28,1020,114,1134
20200419,MN,2356,43360,None,228,574,116,226,None,None,1026,134,574,45716,45716,45716,13,13,1305,143,1448
20200418,MN,2213,42055,None,239,561,111,215,None,None,997,121,561,44268,44268,44268,10,43,1073,142,1215
20200417,MN,2071,40982,None,223,518,106,202,None,None,955,111,518,43053,43053,43053,17,43,1219,159,1378
20200416,MN,1912,39763,None,213,475,103,188,None,None,926,94,475,41675,41675,41675,7,30,1330,103,1433
20200415,MN,1809,38433,None,197,445,93,175,None,None,853,87,445,40242,40242,40242,8,40,887,114,1001
20200414,MN,1695,37546,None,177,405,75,155,None,None,830,79,405,39241,39241,39241,9,44,769,45,814
20200413,MN,1650,36777,None,157,361,74,146,None,None,772,70,361,38427,38427,38427,0,0,977,29,1006
20200412,MN,1621,35800,None,157,361,74,146,None,None,772,70,361,37421,37421,37421,6,21,1823,194,2017
20200411,MN,1427,33977,None,145,340,69,138,None,None,729,64,340,35404,35404,35404,7,23,1419,91,1510
