date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,MP,21,3796,None,None,None,None,None,None,None,13,2,None,3817,3817,3817,0,0,397,0,397
20200518,MP,21,3399,None,None,None,None,None,None,None,12,2,None,3420,3420,3420,0,0,81,0,81
20200517,MP,21,3318,None,None,None,None,None,None,None,12,2,None,3339,3339,3339,0,0,0,0,0
20200516,MP,21,3318,None,None,None,None,None,None,None,12,2,None,3339,3339,3339,0,0,12,2,14
20200515,MP,19,3306,None,None,None,None,None,None,None,12,2,None,3325,3325,3325,0,0,0,0,0
20200514,MP,19,3306,None,None,None,None,None,None,None,12,2,None,3325,3325,3325,0,0,285,0,285
20200513,MP,19,3021,None,None,None,None,None,None,None,12,2,None,3040,3040,3040,0,0,167,0,167
20200512,MP,19,2854,None,None,None,None,None,None,None,12,2,None,2873,2873,2873,0,0,178,0,178
20200511,MP,19,2676,None,None,None,None,None,None,None,12,2,None,2695,2695,2695,0,0,355,3,358
20200510,MP,16,2321,None,None,None,None,None,None,None,12,2,None,2337,2337,2337,0,0,0,0,0
20200509,MP,16,2321,None,None,None,None,None,None,None,12,2,None,2337,2337,2337,0,0,0,1,1
20200508,MP,15,2321,None,None,None,None,None,None,None,12,2,None,2336,2336,2336,0,0,538,0,538
20200507,MP,15,1783,None,None,None,None,None,None,None,12,2,None,1798,1798,1798,0,0,0,0,0
20200506,MP,15,1783,None,None,None,None,None,None,None,12,2,None,1798,1798,1798,0,0,0,1,1
20200505,MP,14,1783,None,None,None,None,None,None,None,12,2,None,1797,1797,1797,0,0,462,0,462
20200504,MP,14,1321,None,None,None,None,None,None,None,12,2,None,1335,1335,1335,0,0,0,0,0
20200503,MP,14,1321,None,None,None,None,None,None,None,12,2,None,1335,1335,1335,0,0,387,0,387
20200502,MP,14,934,None,None,None,None,None,None,None,12,2,None,948,948,948,0,0,185,0,185
20200501,MP,14,749,None,None,None,None,None,None,None,12,2,None,763,763,763,0,0,164,0,164
20200430,MP,14,585,None,None,None,None,None,None,None,12,2,None,599,599,599,0,0,375,0,375
20200429,MP,14,210,None,None,None,None,None,None,None,12,2,None,224,224,224,0,0,159,0,159
20200428,MP,14,51,None,None,None,None,None,None,None,12,2,None,65,65,65,0,0,0,0,0
20200427,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200426,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200425,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200424,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200423,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200422,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200421,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,0,0,0
20200420,MP,14,51,None,None,None,None,None,None,None,11,2,None,65,65,65,0,0,9,0,9
20200419,MP,14,42,4,None,None,None,None,None,None,9,2,None,60,56,56,0,0,0,0,0
20200418,MP,14,42,4,None,None,None,None,None,None,9,2,None,60,56,56,0,0,0,1,1
20200417,MP,13,42,4,None,None,None,None,None,None,None,2,None,59,55,55,0,0,15,0,15
20200416,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,0,0
20200415,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,0,0
20200414,MP,13,27,7,None,None,None,None,None,None,None,2,None,47,40,40,0,0,0,2,2
20200413,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200412,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200411,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200410,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200409,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,0,0,0
20200408,MP,11,27,9,None,None,None,None,None,None,None,2,None,47,38,38,0,0,12,3,15
20200407,MP,8,15,None,None,None,None,None,None,None,None,2,None,23,23,23,1,0,2,0,2
20200406,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200405,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200404,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200403,MP,8,13,10,None,None,None,None,None,None,None,1,None,31,21,21,0,0,0,0,0
20200402,MP,8,13,12,None,None,None,None,None,None,None,1,None,33,21,21,1,0,13,2,15
20200401,MP,6,None,None,None,None,None,None,None,None,None,None,None,6,6,6,0,0,0,4,4
20200331,MP,2,None,None,None,None,None,None,None,None,None,None,None,2,2,2,0,0,0,0,0
20200330,MP,2,None,None,None,None,None,None,None,None,None,None,None,2,2,2,0,0,0,0,0
20200329,MP,2,None,None,None,None,None,None,None,None,None,None,None,2,2,2,0,0,0,0,0
20200328,MP,2,None,None,None,None,None,None,None,None,None,None,None,2,2,2,0,0,0,2,2
