date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,MT,471,28479,None,5,65,None,None,None,None,437,16,65,28950,28950,28950,0,1,782,1,783
20200518,MT,470,27697,None,4,64,None,None,None,None,434,16,64,28167,28167,28167,0,1,1280,2,1282
20200517,MT,468,26417,None,3,63,None,None,None,None,431,16,63,26885,26885,26885,0,0,794,0,794
20200516,MT,468,25623,None,3,63,None,None,None,None,431,16,63,26091,26091,26091,0,0,671,2,673
20200515,MT,466,24952,None,3,63,None,None,None,None,431,16,63,25418,25418,25418,0,0,865,4,869
20200514,MT,462,24087,None,3,63,None,None,None,None,431,16,63,24549,24549,24549,0,0,697,0,697
20200513,MT,462,23390,None,3,63,None,None,None,None,430,16,63,23852,23852,23852,0,0,816,1,817
20200512,MT,461,22574,None,4,63,None,None,None,None,425,16,63,23035,23035,23035,0,1,461,2,463
20200511,MT,459,22113,None,4,62,None,None,None,None,423,16,62,22572,22572,22572,0,0,867,1,868
20200510,MT,458,21246,None,4,62,None,None,None,None,422,16,62,21704,21704,21704,0,0,375,0,375
20200509,MT,458,20871,None,4,62,None,None,None,None,422,16,62,21329,21329,21329,0,0,384,0,384
20200508,MT,458,20487,None,6,62,None,None,None,None,420,16,62,20945,20945,20945,0,0,696,2,698
20200507,MT,456,19791,None,6,62,None,None,None,None,417,16,62,20247,20247,20247,0,0,543,0,543
20200506,MT,456,19248,None,6,62,None,None,None,None,417,16,62,19704,19704,19704,0,0,4432,0,4432
20200505,MT,456,14816,None,6,62,None,None,None,None,410,16,62,15272,15272,15272,0,0,185,-1,184
20200504,MT,457,14631,None,6,62,None,None,None,None,404,16,62,15088,15088,15088,0,1,79,2,81
20200503,MT,455,14552,None,5,61,None,None,None,None,404,16,61,15007,15007,15007,0,0,372,0,372
20200502,MT,455,14180,None,5,61,None,None,None,None,404,16,61,14635,14635,14635,0,0,430,2,432
20200501,MT,453,13750,None,5,61,None,None,None,None,397,16,61,14203,14203,14203,0,0,289,0,289
20200430,MT,453,13461,None,5,61,None,None,None,None,392,16,61,13914,13914,13914,0,0,384,2,386
20200429,MT,451,13077,None,5,61,None,None,None,None,382,16,61,13528,13528,13528,1,0,337,0,337
20200428,MT,451,12740,None,10,61,None,None,None,None,356,15,61,13191,13191,13191,1,0,156,2,158
20200427,MT,449,12584,None,11,61,None,None,None,None,352,14,61,13033,13033,13033,0,0,170,1,171
20200426,MT,448,12414,None,11,61,None,None,None,None,339,14,61,12862,12862,12862,0,0,362,3,365
20200425,MT,445,12052,None,11,61,None,None,None,None,339,14,61,12497,12497,12497,0,2,369,1,370
20200424,MT,444,11683,None,12,59,None,None,None,None,325,14,59,12127,12127,12127,0,0,250,2,252
20200423,MT,442,11433,None,13,59,None,None,None,None,306,14,59,11875,11875,11875,0,0,289,3,292
20200422,MT,439,11144,None,13,59,None,None,None,None,296,14,59,11583,11583,11583,2,0,340,2,342
20200421,MT,437,10804,None,14,59,None,None,None,None,273,12,59,11241,11241,11241,2,2,186,4,190
20200420,MT,433,10618,None,19,57,None,None,None,None,243,10,57,11051,11051,11051,0,2,153,0,153
20200419,MT,433,10465,None,18,55,None,None,None,None,243,10,55,10898,10898,10898,0,0,322,7,329
20200418,MT,426,10143,None,17,55,None,None,None,None,234,10,55,10569,10569,10569,2,1,321,4,325
20200417,MT,422,9822,None,21,54,None,None,None,None,233,8,54,10244,10244,10244,1,2,301,7,308
20200416,MT,415,9521,None,21,52,None,None,None,None,218,7,52,9936,9936,9936,0,1,342,11,353
20200415,MT,404,9179,None,21,51,None,None,None,None,209,7,51,9583,9583,9583,0,1,344,5,349
20200414,MT,399,8835,None,24,50,None,None,None,None,197,7,50,9234,9234,9234,0,3,131,5,136
20200413,MT,394,8704,None,21,47,None,None,None,None,171,7,47,9098,9098,9098,1,0,178,7,185
20200412,MT,387,8526,None,22,47,None,None,None,None,169,6,47,8913,8913,8913,0,1,322,10,332
20200411,MT,377,8204,None,21,46,None,None,None,None,169,6,46,8581,8581,8581,0,5,272,12,284
20200410,MT,365,7932,None,29,41,None,None,None,None,165,6,41,8297,8297,8297,0,5,426,11,437
20200409,MT,354,7506,None,13,36,None,None,None,None,157,6,36,7860,7860,7860,0,5,440,22,462
20200408,MT,332,7066,None,None,31,None,None,None,None,135,6,31,7398,7398,7398,0,3,400,13,413
20200407,MT,319,6666,None,None,28,None,None,None,None,None,6,28,6985,6985,6985,0,4,175,20,195
