date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,NC,19700,245308,None,585,None,None,None,None,None,11637,691,None,265008,265008,265008,30,0,8576,677,9253
20200518,NC,19023,236732,None,511,None,None,None,None,None,11637,661,None,255755,255755,255755,2,0,6300,511,6811
20200517,NC,18512,230432,None,493,None,None,None,None,None,9115,659,None,248944,248944,248944,7,0,9828,530,10358
20200516,NC,17982,220604,None,481,None,None,None,None,None,9115,652,None,238586,238586,238586,11,0,6186,853,7039
20200515,NC,17129,214418,None,492,None,None,None,None,None,9115,641,None,231547,231547,231547,26,0,11657,622,12279
20200514,NC,16507,202761,None,507,None,None,None,None,None,9115,615,None,219268,219268,219268,18,0,8120,691,8811
20200513,NC,15816,194641,None,521,None,None,None,None,None,9115,597,None,210457,210457,210457,20,0,7743,470,8213
20200512,NC,15346,186898,None,475,None,None,None,None,None,9115,577,None,202244,202244,202244,27,0,6078,301,6379
20200511,NC,15045,180820,None,464,None,None,None,None,None,9115,550,None,195865,195865,195865,3,0,3449,281,3730
20200510,NC,14764,177371,None,442,None,None,None,None,None,None,547,None,192135,192135,192135,3,0,5369,404,5773
20200509,NC,14360,172002,None,513,None,None,None,None,None,None,544,None,186362,186362,186362,17,0,7257,492,7749
20200508,NC,13868,164745,None,515,None,None,None,None,None,None,527,None,178613,178613,178613,20,0,6814,471,7285
20200507,NC,13397,157931,None,525,None,None,None,None,None,None,507,None,171328,171328,171328,30,0,6207,639,6846
20200506,NC,12758,151724,None,516,None,None,None,None,None,None,477,None,164482,164482,164482,25,0,12180,502,12682
20200505,NC,12256,139544,None,534,None,None,None,None,None,None,452,None,151800,151800,151800,22,0,4953,408,5361
20200504,NC,11848,134591,None,498,None,None,None,None,None,None,430,None,146439,146439,146439,8,0,2420,184,2604
20200503,NC,11664,132171,None,475,None,None,None,None,None,None,422,None,143835,143835,143835,2,0,4205,155,4360
20200502,NC,11509,127966,None,502,None,None,None,None,None,None,420,None,139475,139475,139475,21,0,5057,586,5643
20200501,NC,10923,122909,None,547,None,None,None,None,None,None,399,None,133832,133832,133832,21,0,5382,414,5796
20200430,NC,10509,117527,None,546,None,None,None,None,None,None,378,None,128036,128036,128036,24,0,9035,561,9596
20200429,NC,9948,108492,None,551,None,None,None,None,None,None,354,None,118440,118440,118440,12,0,5308,380,5688
20200428,NC,9568,103184,None,463,None,None,None,None,None,None,342,None,112752,112752,112752,36,0,2406,426,2832
20200427,NC,9142,100778,None,473,None,None,None,None,None,None,306,None,109920,109920,109920,7,0,1714,312,2026
20200426,NC,8830,99064,None,451,None,None,None,None,None,None,299,None,107894,107894,107894,10,0,2422,207,2629
20200425,NC,8623,96642,None,456,None,None,None,None,None,None,289,None,105265,105265,105265,20,0,4110,571,4681
20200424,NC,8052,92532,None,477,None,None,None,None,None,None,269,None,100584,100584,100584,16,0,3955,444,4399
20200423,NC,7608,88577,None,486,None,None,None,None,None,None,253,None,96185,96185,96185,11,0,5461,388,5849
20200422,NC,7220,83116,None,434,None,None,None,None,None,None,242,None,90336,90336,90336,29,0,6736,269,7005
20200421,NC,6951,76380,None,427,None,None,None,None,None,None,213,None,83331,83331,83331,34,0,3660,187,3847
20200420,NC,6764,72720,None,373,None,None,None,None,None,None,179,None,79484,79484,79484,7,0,441,271,712
20200419,NC,6493,72279,None,465,None,None,None,None,None,None,172,None,78772,78772,78772,8,0,2208,353,2561
