date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,NM,6096,131524,None,213,886,None,None,None,None,1796,270,886,137620,137620,137620,5,0,4209,158,4367
20200518,NM,5938,127315,None,211,886,None,None,None,None,1755,265,886,133253,133253,133253,6,0,4588,81,4669
20200517,NM,5857,122727,None,208,886,None,None,None,None,1739,259,886,128584,128584,128584,6,0,3931,195,4126
20200516,NM,5662,118796,None,223,886,None,None,None,None,1671,253,886,124458,124458,124458,11,0,4698,159,4857
20200515,NM,5503,114098,None,209,886,None,None,None,None,1576,242,886,119601,119601,119601,11,0,4451,139,4590
20200514,NM,5364,109647,None,200,886,None,None,None,None,1515,231,886,115011,115011,115011,12,0,4570,152,4722
20200513,NM,5212,105077,None,199,886,None,None,None,None,1434,219,886,110289,110289,110289,11,0,3425,143,3568
20200512,NM,5069,101652,None,207,886,None,None,None,None,1300,208,886,106721,106721,106721,8,97,4017,206,4223
20200511,NM,4863,97635,None,194,789,None,None,None,None,1285,200,789,102498,102498,102498,9,0,5360,85,5445
20200510,NM,4778,92275,None,198,789,None,None,None,None,1268,191,789,97053,97053,97053,10,0,3686,105,3791
20200509,NM,4673,88589,None,201,789,None,None,None,None,1189,181,789,93262,93262,93262,9,29,4050,180,4230
20200508,NM,4493,84539,None,197,760,None,None,None,None,1125,172,760,89032,89032,89032,3,73,3146,202,3348
20200507,NM,4291,81393,None,193,687,None,None,None,None,1073,169,687,85684,85684,85684,7,0,2280,153,2433
20200506,NM,4138,79113,None,178,687,None,None,None,None,964,162,687,83251,83251,83251,6,20,1424,107,1531
20200505,NM,4031,77689,None,181,667,None,None,None,None,842,156,667,81720,81720,81720,5,80,3562,181,3743
20200504,NM,3850,74127,None,164,587,None,None,None,None,832,151,587,77977,77977,77977,12,0,2915,118,3033
20200503,NM,3732,71212,None,168,587,None,None,None,None,812,139,587,74944,74944,74944,8,0,3607,219,3826
20200502,NM,3513,67605,None,159,587,None,None,None,None,785,131,587,71118,71118,71118,8,51,3147,102,3249
20200501,NM,3411,64458,None,172,536,None,None,None,None,760,123,536,67869,67869,67869,11,0,2586,198,2784
20200430,NM,3213,61872,None,163,536,None,None,None,None,734,112,536,65085,65085,65085,2,27,3101,239,3340
20200429,NM,2974,58771,None,157,509,None,None,None,None,705,110,509,61745,61745,61745,6,28,2791,151,2942
20200428,NM,2823,55980,None,155,481,None,None,None,None,666,104,481,58803,58803,58803,5,69,2091,97,2188
20200427,NM,2726,53889,None,148,412,None,None,None,None,650,99,412,56615,56615,56615,6,0,2814,66,2880
20200426,NM,2660,51075,None,152,412,None,None,None,None,614,93,412,53735,53735,53735,9,0,2086,139,2225
20200425,NM,2521,48989,None,152,412,None,None,None,None,614,84,412,51510,51510,51510,6,45,4805,142,4947
20200424,NM,2379,44184,None,123,367,None,None,None,None,573,78,367,46563,46563,46563,7,36,5162,169,5331
20200423,NM,2210,39022,None,121,331,None,None,None,None,547,71,331,41232,41232,41232,6,25,217,138,355
20200422,NM,2072,38805,None,119,306,None,None,None,None,529,65,306,40877,40877,40877,7,15,2021,101,2122
20200421,NM,1971,36784,None,116,291,None,None,None,None,501,58,291,38755,38755,38755,3,17,1587,126,1713
20200420,NM,1845,35197,None,103,274,None,None,None,None,487,55,274,37042,37042,37042,2,16,363,47,410
20200419,NM,1798,34834,None,92,258,None,None,None,None,465,53,258,36632,36632,36632,2,16,932,87,1019
20200418,NM,1711,33902,None,96,242,None,None,None,None,382,51,242,35613,35613,35613,7,12,1011,114,1125
20200417,NM,1597,32891,None,90,230,None,None,None,None,353,44,230,34488,34488,34488,8,15,981,113,1094
20200416,NM,1484,31910,None,90,215,None,None,None,None,353,36,215,33394,33394,33394,0,34,467,77,544
20200415,NM,1407,31443,None,87,181,None,None,None,None,340,36,181,32850,32850,32850,5,0,818,62,880
20200414,NM,1345,30625,None,87,181,None,None,None,None,304,31,181,31970,31970,31970,5,181,1355,100,1455
20200413,NM,1245,29270,None,80,None,None,None,None,None,295,26,None,30515,30515,30515,6,0,1752,71,1823
20200412,NM,1174,27518,None,78,None,None,None,18,None,235,20,None,28692,28692,28692,1,0,1511,83,1594
20200411,NM,1091,26007,None,75,None,None,None,18,None,235,19,None,27098,27098,27098,0,0,0,0,0
20200410,NM,1091,26007,None,73,None,None,None,18,None,217,19,None,27098,27098,27098,3,0,3065,226,3291
20200409,NM,865,22942,None,59,None,None,None,18,None,201,16,None,23807,23807,23807,3,0,1491,71,1562
20200408,NM,794,21451,None,51,None,None,None,18,None,171,13,None,22245,22245,22245,1,0,312,108,420
20200407,NM,686,21139,None,48,None,None,None,18,None,133,12,None,21825,21825,21825,0,0,2627,62,2689
