date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200506,OH,21576,147353,None,1045,4052,407,1151,275,None,None,1225,4052,168929,168929,168929,90,96,7587,607,8194
20200505,OH,20969,139766,None,1069,3956,402,1123,281,None,None,1135,3956,160735,160735,160735,79,147,5085,495,5580
20200504,OH,20474,134681,None,1078,3809,412,1090,275,None,None,1056,3809,155155,155155,155155,18,40,4429,560,4989
20200503,OH,19914,130252,None,931,3769,393,1078,255,None,None,1038,3769,150166,150166,150166,17,57,3768,579,4347
20200502,OH,19335,126484,None,1003,3712,424,1066,267,None,None,1021,3712,145819,145819,145819,19,78,4721,592,5313
20200501,OH,18743,121763,None,None,3634,None,1056,None,None,None,1002,3634,140506,140506,140506,27,101,5900,716,6616
20200430,OH,18027,115863,None,None,3533,None,1035,None,None,None,975,3533,133890,133890,133890,38,112,4258,724,4982
20200429,OH,17303,111605,None,None,3421,None,1014,None,None,None,937,3421,128908,128908,128908,138,81,5027,978,6005
20200428,OH,16325,106578,None,None,3340,None,1004,None,None,None,799,3340,122903,122903,122903,46,108,2886,0,2886
20200427,OH,16325,103692,None,None,3232,None,978,None,None,None,753,3232,120017,120017,120017,25,54,3269,362,3631
20200426,OH,15963,100423,None,None,3178,None,952,None,None,None,728,3178,116386,116386,116386,17,63,4027,376,4403
20200425,OH,15587,96396,None,None,3115,None,938,None,None,None,711,3115,111983,111983,111983,21,62,3868,418,4286
20200424,OH,15169,92528,None,None,3053,None,920,None,None,None,690,3053,107697,107697,107697,34,93,4345,475,4820
20200423,OH,14694,88183,None,None,2960,None,900,None,None,None,656,2960,102877,102877,102877,46,78,3794,577,4371
20200422,OH,14117,84389,None,None,2882,None,880,None,None,None,610,2882,98506,98506,98506,53,103,3400,392,3792
20200421,OH,13725,80989,None,None,2779,None,838,None,None,None,557,2779,94714,94714,94714,48,126,3069,806,3875
20200420,OH,12919,77920,None,None,2653,None,798,None,None,None,509,2653,90839,90839,90839,38,88,2223,1317,3540
20200419,OH,11602,75697,None,None,2565,None,765,None,None,None,471,2565,87299,87299,87299,20,46,6878,1380,8258
20200418,OH,10222,68819,None,None,2519,None,760,None,None,None,451,2519,79041,79041,79041,33,95,0,1115,1115
20200417,OH,9107,68819,None,None,2424,None,740,None,None,None,418,2424,77926,77926,77926,29,93,2393,693,3086
20200416,OH,8414,66426,None,None,2331,None,707,None,None,None,389,2331,74840,74840,74840,28,94,2665,623,3288
20200415,OH,7791,63761,None,None,2237,None,677,None,None,None,361,2237,71552,71552,71552,37,81,3040,511,3551
20200414,OH,7280,60721,None,None,2156,None,654,None,None,None,324,2156,68001,68001,68001,50,123,2584,305,2889
20200413,OH,6975,58137,None,None,2033,None,613,None,None,None,274,2033,65112,65112,65112,21,85,1498,371,1869
20200412,OH,6604,56639,None,None,1948,None,595,None,None,None,253,1948,63243,63243,63243,6,89,2418,354,2772
20200411,OH,6250,54221,None,None,1859,None,572,None,None,None,247,1859,60471,60471,60471,16,104,1526,372,1898
20200410,OH,5878,52695,None,None,1755,None,548,None,None,None,231,1755,58573,58573,58573,18,143,2222,366,2588
20200409,OH,5512,50473,None,None,1612,None,497,None,None,None,213,1612,55985,55985,55985,20,117,2280,364,2644
20200408,OH,5148,48193,None,None,1495,None,472,None,None,None,193,1495,53341,53341,53341,26,141,2137,366,2503
20200407,OH,4782,46056,None,None,1354,None,417,None,None,None,167,1354,50838,50838,50838,25,140,2128,332,2460
20200406,OH,4450,43928,None,None,1214,None,371,None,None,None,142,1214,48378,48378,48378,23,110,4215,407,4622
20200405,OH,4043,39713,None,None,1104,None,346,None,None,None,119,1104,43756,43756,43756,17,98,1581,304,1885
20200404,OH,3739,38132,None,None,1006,None,326,None,None,None,102,1006,41871,41871,41871,11,111,3069,427,3496
20200403,OH,3312,35063,None,None,895,None,288,None,None,None,91,895,38375,38375,38375,10,93,3047,410,3457
20200402,OH,2902,32016,None,None,802,None,260,None,None,None,81,802,34918,34918,34918,16,123,5024,355,5379
20200401,OH,2547,26992,None,None,679,None,222,None,None,None,65,679,29539,29539,29539,10,94,0,348,348
20200331,OH,2199,26992,None,None,585,None,198,None,None,None,55,585,29191,29191,29191,16,110,1650,266,1916
20200330,OH,1933,25342,None,None,475,None,163,None,None,None,39,475,27275,27275,27275,10,72,6330,280,6610
20200329,OH,1653,19012,None,None,403,None,139,None,None,None,29,403,20665,20665,20665,4,59,0,247,247
20200328,OH,1406,19012,None,None,344,None,123,None,None,None,25,344,20418,20418,20418,6,68,0,269,269
20200327,OH,1137,19012,None,None,276,None,107,None,None,None,19,276,20149,20149,20149,4,53,2563,270,2833
20200326,OH,867,16449,None,None,223,None,91,None,None,None,15,223,17316,17316,17316,5,41,2389,163,2552
20200325,OH,704,14060,None,None,182,None,74,None,None,None,10,182,14764,14764,14764,2,37,13920,140,14060
