date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,OK,5489,133658,None,167,897,77,None,None,None,4135,294,897,139147,139147,139147,6,12,15496,91,15587
20200518,OK,5398,118162,None,76,885,45,None,None,None,4008,288,885,123560,123560,123560,0,5,0,88,88
20200517,OK,5310,118162,None,180,880,73,None,None,None,3983,288,880,123472,123472,123472,0,2,0,73,73
20200516,OK,5237,118162,None,180,878,73,None,None,None,3945,288,878,123399,123399,123399,3,15,5056,151,5207
20200515,OK,5086,113106,None,215,863,98,None,None,None,3801,285,863,118192,118192,118192,1,5,5885,124,6009
20200514,OK,4962,107221,None,217,858,102,None,None,None,3660,284,858,112183,112183,112183,6,10,2946,110,3056
20200513,OK,4852,104275,None,218,848,93,None,None,None,3559,278,848,109127,109127,109127,0,20,12896,120,13016
20200512,OK,4732,91379,None,190,828,83,None,None,None,3423,278,828,96111,96111,96111,4,0,0,119,119
20200511,OK,4613,91379,None,177,828,93,None,None,None,3241,274,828,95992,95992,95992,2,2,0,24,24
20200510,OK,4589,91379,None,177,826,93,None,None,None,3204,272,826,95968,95968,95968,2,4,0,99,99
20200509,OK,4490,91379,None,177,822,93,None,None,None,3154,270,822,95869,95869,95869,4,17,5946,66,6012
20200508,OK,4424,85433,None,228,805,96,None,None,None,3064,266,805,89857,89857,89857,6,0,2876,94,2970
20200507,OK,4330,82557,None,223,805,97,None,None,None,2985,260,805,86887,86887,86887,7,32,3868,129,3997
20200506,OK,4201,78689,None,230,773,102,None,None,None,2909,253,773,82890,82890,82890,6,0,3399,74,3473
20200505,OK,4127,75290,None,236,773,113,None,None,None,2830,247,773,79417,79417,79417,9,20,15486,83,15569
20200504,OK,4044,59804,None,236,753,92,None,None,None,2682,238,753,63848,63848,63848,0,10,0,72,72
20200503,OK,3972,59804,None,236,743,92,None,None,None,2635,238,743,63776,63776,63776,0,0,0,121,121
20200502,OK,3851,59804,None,236,743,92,None,None,None,2554,238,743,63655,63655,63655,8,28,0,103,103
20200501,OK,3748,59804,None,255,715,113,None,None,None,2467,230,715,63552,63552,63552,8,12,0,130,130
20200430,OK,3618,59804,None,291,703,127,None,None,None,2401,222,703,63422,63422,63422,8,10,2010,145,2155
20200429,OK,3473,57794,None,283,693,126,None,None,None,2319,214,693,61267,61267,61267,7,37,1505,63,1568
20200428,OK,3410,56289,None,288,656,118,None,None,None,2260,207,656,59699,59699,59699,10,0,6398,130,6528
20200427,OK,3280,49891,None,306,656,150,None,None,None,2167,197,656,53171,53171,53171,2,3,0,27,27
20200426,OK,3253,49891,None,306,653,150,None,None,None,2139,195,653,53144,53144,53144,1,16,0,60,60
20200425,OK,3193,49891,None,306,637,150,None,None,None,2080,194,637,53084,53084,53084,6,0,6872,72,6944
20200424,OK,3121,43019,None,310,637,155,None,None,None,1961,188,637,46140,46140,46140,9,15,0,104,104
20200423,OK,3017,43019,None,284,622,156,None,None,None,1884,179,622,46036,46036,46036,9,34,0,123,123
20200422,OK,2894,43019,None,298,588,147,None,None,None,1772,170,588,45913,45913,45913,6,27,1482,87,1569
20200421,OK,2807,41537,None,346,561,164,None,None,None,1702,164,561,44344,44344,44344,21,20,8571,127,8698
20200420,OK,2680,32966,None,307,541,136,None,None,None,1614,143,541,35646,35646,35646,3,0,0,81,81
20200419,OK,2599,32966,None,307,541,136,None,None,None,1575,140,541,35565,35565,35565,1,0,0,29,29
20200418,OK,2570,32966,None,307,541,136,None,None,None,1515,139,541,35536,35536,35536,3,13,1811,105,1916
20200417,OK,2465,31155,None,325,528,155,None,None,None,1331,136,528,33620,33620,33620,5,0,2613,108,2721
20200416,OK,2357,28542,None,236,528,163,None,None,None,1240,131,528,30899,30899,30899,8,18,1586,94,1680
20200415,OK,2263,26956,None,194,510,107,None,None,None,1115,123,510,29219,29219,29219,15,22,871,79,950
20200414,OK,2184,26085,None,194,488,107,None,None,None,1060,108,488,28269,28269,28269,9,31,5295,115,5410
20200413,OK,2069,20790,None,383,457,191,None,None,None,865,99,457,22859,22859,22859,3,11,0,99,99
20200412,OK,1970,20790,None,383,446,191,None,None,None,865,96,446,22760,22760,22760,2,0,0,102,102
20200411,OK,1868,20790,None,383,446,191,None,None,None,865,94,446,22658,22658,22658,6,18,420,74,494
20200410,OK,1794,20370,None,186,428,122,None,None,None,790,88,428,22164,22164,22164,8,13,1775,110,1885
20200409,OK,1684,18595,None,188,415,120,None,None,None,686,80,415,20279,20279,20279,1,25,6774,160,6934
20200408,OK,1524,11821,None,188,390,120,None,None,None,686,79,390,13345,13345,13345,12,14,0,52,52
20200407,OK,1472,11821,None,186,376,137,None,None,None,612,67,376,13293,13293,13293,16,36,10399,145,10544
20200406,OK,1327,1422,None,161,340,143,None,None,None,522,51,340,2749,2749,2749,5,10,21,75,96
20200405,OK,1252,1401,None,None,330,None,None,None,None,None,46,330,2653,2653,2653,4,14,39,93,132
20200404,OK,1159,1362,None,None,316,None,None,None,None,None,42,316,2521,2521,2521,4,27,47,171,218
20200403,OK,988,1315,None,171,289,123,None,None,None,383,38,289,2303,2303,2303,4,32,50,109,159
20200402,OK,879,1265,None,182,257,144,None,None,None,None,34,257,2144,2144,2144,4,38,17,160,177
20200401,OK,719,1248,None,174,219,98,None,None,None,None,30,219,1967,1967,1967,7,42,19,154,173
20200331,OK,565,1229,None,None,177,83,None,None,None,None,23,177,1794,1794,1794,6,24,22,84,106
20200330,OK,481,1207,None,None,153,103,None,None,None,None,17,153,1688,1688,1688,1,13,2,52,54
20200329,OK,429,1205,None,None,140,None,None,None,None,None,16,140,1634,1634,1634,1,14,25,52,77
20200328,OK,377,1180,None,None,126,None,None,None,None,None,15,126,1557,1557,1557,7,21,96,55,151
