date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200506,PA,51845,204495,None,2545,None,None,None,560,None,None,3106,None,256340,256340,256340,94,0,4570,888,5458
20200505,PA,50957,199925,None,2580,None,None,None,550,None,None,3012,None,250882,250882,250882,554,0,4427,865,5292
20200504,PA,50092,195498,None,2708,None,None,None,573,None,None,2458,None,245590,245590,245590,14,0,4124,825,4949
20200503,PA,49267,191374,None,2645,None,None,None,562,None,None,2444,None,240641,240641,240641,26,0,4303,962,5265
20200502,PA,48305,187071,None,2673,None,None,None,571,None,None,2418,None,235376,235376,235376,64,0,6594,1334,7928
20200501,PA,46971,180477,None,2683,None,None,None,590,None,None,2354,None,227448,227448,227448,62,0,4875,1208,6083
20200430,PA,45763,175602,None,2707,None,None,None,556,None,None,2292,None,221365,221365,221365,97,0,5085,1397,6482
20200429,PA,44366,170517,None,2781,None,None,None,602,None,None,2195,None,214883,214883,214883,479,0,4693,1102,5795
20200428,PA,43264,165824,None,2781,None,None,None,616,None,None,1716,None,209088,209088,209088,119,0,4452,1214,5666
20200427,PA,42050,161372,None,2800,None,None,None,629,None,None,1597,None,203422,203422,203422,47,0,3944,885,4829
20200426,PA,41165,157428,None,2736,None,None,None,632,None,None,1550,None,198593,198593,198593,13,0,4542,1116,5658
20200425,PA,40049,152886,None,2748,None,None,None,640,None,None,1537,None,192935,192935,192935,45,0,5395,1397,6792
20200424,PA,38652,147491,None,2746,None,None,None,679,None,None,1492,None,186143,186143,186143,71,0,5430,1599,7029
20200423,PA,37053,142061,None,2750,None,None,None,679,None,None,1421,None,179114,179114,179114,-201,0,5789,1369,7158
20200422,PA,35684,136272,None,2764,None,None,None,685,None,None,1622,None,171956,171956,171956,58,0,3949,1156,5105
20200421,PA,34528,132323,None,2743,None,None,None,673,None,None,1564,None,166851,166851,166851,360,0,2603,1296,3899
20200420,PA,33232,129720,None,2701,None,None,None,659,None,None,1204,None,162952,162952,162952,92,0,3150,948,4098
20200419,PA,32284,126570,None,2634,None,None,None,657,None,None,1112,None,158854,158854,158854,276,0,3674,1215,4889
20200418,PA,31069,122896,None,2613,None,None,None,660,None,None,836,None,153965,153965,153965,80,0,4964,1628,6592
20200417,PA,29441,117932,None,2603,None,None,None,661,None,None,756,None,147373,147373,147373,49,0,4197,1706,5903
20200416,PA,27735,113735,None,2512,None,None,None,675,None,None,707,None,141470,141470,141470,60,0,2641,1245,3886
20200415,PA,26490,111094,None,2395,None,None,None,668,None,None,647,None,137584,137584,137584,63,0,2808,1145,3953
20200414,PA,25345,108286,None,2317,None,None,None,675,None,None,584,None,133631,133631,133631,60,0,2693,1146,3839
20200413,PA,24199,105593,None,2243,None,None,None,669,None,None,524,None,129792,129792,129792,17,0,3536,1366,4902
20200412,PA,22833,102057,None,2097,None,None,None,649,None,None,507,None,124890,124890,124890,13,0,3559,1178,4737
20200411,PA,21655,98498,None,2115,None,None,None,639,None,None,494,None,120153,120153,120153,78,0,5458,1676,7134
