date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,RI,12951,104295,None,247,1464,59,None,44,None,1023,532,1464,117246,117246,117246,26,26,1706,156,1862
20200518,RI,12795,102589,None,236,1438,62,None,46,None,1012,506,1438,115384,115384,115384,7,20,2713,121,2834
20200517,RI,12674,99876,None,260,1418,64,None,45,None,972,499,1418,112550,112550,112550,10,15,3830,240,4070
20200516,RI,12434,96046,None,273,1403,66,None,44,None,947,489,1403,108480,108480,108480,10,31,3287,215,3502
20200515,RI,12219,92759,None,272,1372,63,None,41,None,919,479,1372,104978,104978,104978,11,21,3174,203,3377
20200514,RI,12016,89585,None,271,1351,65,None,42,None,903,468,1351,101601,101601,101601,6,23,3498,181,3679
20200513,RI,11835,86087,None,269,1328,68,None,48,None,886,462,1328,97922,97922,97922,18,21,2462,221,2683
20200512,RI,11614,83625,None,277,1307,72,None,53,None,863,444,1307,95239,95239,95239,14,27,1743,164,1907
20200511,RI,11450,81882,None,276,1280,73,None,52,None,841,430,1280,93332,93332,93332,8,29,1943,176,2119
20200510,RI,11274,79939,None,283,1251,70,None,52,None,809,422,1251,91213,91213,91213,4,33,3113,285,3398
20200509,RI,10989,76826,None,292,1218,77,None,56,None,772,418,1218,87815,87815,87815,19,31,2339,210,2549
20200508,RI,10779,74487,None,312,1187,71,None,52,None,730,399,1187,85266,85266,85266,11,34,2699,249,2948
20200507,RI,10530,71788,None,318,1153,82,None,56,None,696,388,1153,82318,82318,82318,18,30,2620,325,2945
20200506,RI,10205,69168,None,324,1123,86,None,60,None,665,370,1123,79373,79373,79373,15,31,2666,272,2938
20200505,RI,9933,66502,None,327,1092,89,None,62,None,639,355,1092,76435,76435,76435,14,31,2018,281,2299
20200504,RI,9652,64484,None,339,1061,84,None,61,None,601,341,1061,74136,74136,74136,21,48,2034,175,2209
20200503,RI,9477,62450,None,330,1013,83,None,59,None,565,320,1013,71927,71927,71927,24,36,1811,188,1999
20200502,RI,9289,60639,None,333,977,80,None,54,None,531,296,977,69928,69928,69928,17,40,2953,327,3280
