date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,SC,9056,126007,None,None,1444,None,None,None,None,5451,399,1444,135063,135063,135063,8,23,3390,114,3504
20200518,SC,8942,122617,None,None,1421,None,None,None,None,5076,391,1421,131559,131559,131559,11,0,10947,281,11228
20200517,SC,8661,111670,None,None,1421,None,None,None,None,5076,380,1421,120331,120331,120331,0,0,10461,254,10715
20200516,SC,8407,101209,None,None,1421,None,None,None,None,5076,380,1421,109616,109616,109616,0,0,0,0,0
20200515,SC,8407,101209,None,None,1421,None,None,None,None,5076,380,1421,109616,109616,109616,9,83,6863,218,7081
20200514,SC,8189,94346,None,None,1338,None,None,None,None,4914,371,1338,102535,102535,102535,16,0,9133,262,9395
20200513,SC,7927,85213,None,None,1338,None,None,None,None,6817,355,1338,93140,93140,93140,0,0,0,0,0
20200512,SC,7927,85213,None,None,1338,None,None,None,None,6817,355,1338,93140,93140,93140,24,86,8409,274,8683
20200511,SC,7653,76804,None,None,1252,None,None,None,None,4120,331,1252,84457,84457,84457,0,0,0,0,0
20200510,SC,7653,76804,None,None,1252,None,None,None,None,4120,331,1252,84457,84457,84457,1,0,3372,122,3494
20200509,SC,7531,73432,None,None,1252,None,None,None,None,4120,330,1252,80963,80963,80963,14,100,7132,389,7521
20200508,SC,7142,66300,None,None,1152,None,None,None,None,3816,316,1152,73442,73442,73442,11,0,-4246,206,-4040
20200507,SC,6936,70546,None,None,1152,None,None,None,None,3816,305,1152,77482,77482,77482,0,0,0,0,0
20200506,SC,6936,70546,None,None,1152,None,None,None,None,3816,305,1152,77482,77482,77482,22,42,9532,179,9711
20200505,SC,6757,61014,None,None,1110,None,None,None,None,3622,283,1110,67771,67771,67771,8,0,3452,131,3583
20200504,SC,6626,57562,None,None,1110,None,None,None,None,3622,275,1110,64188,64188,64188,0,0,0,0,0
