date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,TX,49912,695025,None,1732,None,None,None,None,None,29359,1369,None,744937,744937,744937,22,0,20705,1219,21924
20200518,TX,48693,674320,None,1551,None,None,None,None,None,28371,1347,None,723013,723013,723013,11,0,28828,909,29737
20200517,TX,47784,645492,None,1512,None,None,None,None,None,27570,1336,None,693276,693276,693276,31,0,14020,785,14805
20200516,TX,46999,631472,None,1791,None,None,None,None,None,26601,1305,None,678471,678471,678471,33,0,30678,1801,32479
20200515,TX,45198,600794,None,1716,None,None,None,None,None,25454,1272,None,645992,645992,645992,56,0,21361,1347,22708
20200514,TX,43851,579433,None,1648,None,None,None,None,None,24487,1216,None,623284,623284,623284,58,0,34405,1448,35853
20200513,TX,42403,545028,None,1676,None,None,None,None,None,23519,1158,None,587431,587431,587431,25,0,47904,1355,49259
20200512,TX,41048,497124,None,1725,None,None,None,None,None,22674,1133,None,538172,538172,538172,33,0,11296,1179,12475
20200511,TX,39869,485828,None,1525,None,None,None,None,None,21713,1100,None,525697,525697,525697,12,0,22921,1000,23921
20200510,TX,38869,462907,None,1626,None,None,None,None,None,21022,1088,None,501776,501776,501776,39,0,11473,1009,12482
20200509,TX,37860,451434,None,1735,None,None,None,None,None,20141,1049,None,489294,489294,489294,45,0,10925,1251,12176
20200508,TX,36609,440509,None,1734,None,None,None,None,None,19197,1004,None,477118,477118,477118,31,0,20737,1219,21956
20200507,TX,35390,419772,None,1750,None,None,None,None,None,18440,973,None,455162,455162,455162,25,0,15256,968,16224
20200506,TX,34422,404516,None,1812,None,None,None,None,None,17622,948,None,438938,438938,438938,42,0,10675,1053,11728
20200505,TX,33369,393841,None,1888,None,None,None,None,None,16791,906,None,427210,427210,427210,22,0,18775,1037,19812
20200504,TX,32332,375066,None,1533,None,None,None,None,None,16090,884,None,407398,407398,407398,17,0,16054,784,16838
20200503,TX,31548,359012,None,1540,None,None,None,None,None,15544,867,None,390560,390560,390560,20,0,8886,1026,9912
20200502,TX,30522,350126,None,1725,None,None,None,None,None,14891,847,None,380648,380648,380648,31,0,27580,1293,28873
20200501,TX,29229,322546,None,1778,None,None,None,None,None,14122,816,None,351775,351775,351775,34,0,20333,1142,21475
20200430,TX,28087,302213,None,1686,None,None,None,None,None,13353,782,None,330300,330300,330300,50,0,14477,1033,15510
20200429,TX,27054,287736,None,1702,None,None,None,None,None,12507,732,None,314790,314790,314790,42,0,13523,883,14406
20200428,TX,26171,274213,None,1682,None,None,None,None,None,11786,690,None,300384,300384,300384,27,0,8993,874,9867
20200427,TX,25297,265220,None,1563,None,None,None,None,None,11170,663,None,290517,290517,290517,15,0,13830,666,14496
20200426,TX,24631,251390,None,1542,None,None,None,None,None,10763,648,None,276021,276021,276021,25,0,12347,858,13205
20200425,TX,23773,239043,None,1597,None,None,None,None,None,9986,623,None,262816,262816,262816,30,0,19302,967,20269
20200424,TX,22806,219741,None,1674,None,None,None,None,None,9156,593,None,242547,242547,242547,32,0,16607,862,17469
20200423,TX,21944,203134,None,1649,None,None,None,None,None,8025,561,None,225078,225078,225078,18,0,7420,875,8295
20200422,TX,21069,195714,None,1678,None,None,None,None,None,7341,543,None,216783,216783,216783,26,0,10511,873,11384
20200421,TX,20196,185203,None,1419,None,None,None,None,None,6486,517,None,205399,205399,205399,22,0,14267,738,15005
20200420,TX,19458,170936,None,1411,None,None,None,None,None,5706,495,None,190394,190394,190394,18,0,7149,535,7684
20200419,TX,18923,163787,None,1471,None,None,None,None,None,5334,477,None,182710,182710,182710,24,0,5808,663,6471
20200418,TX,18260,157979,None,1321,None,None,None,None,None,4806,453,None,176239,176239,176239,25,0,5814,889,6703
20200417,TX,17371,152165,None,1522,None,None,None,None,None,4190,428,None,169536,169536,169536,35,0,10073,916,10989
20200416,TX,16455,142092,None,1459,None,None,None,None,None,3677,393,None,158547,158547,158547,29,0,5774,963,6737
20200415,TX,15492,136318,None,1538,None,None,None,None,None,3150,364,None,151810,151810,151810,46,0,4475,868,5343
20200414,TX,14624,131843,None,1409,None,None,None,None,None,2580,318,None,146467,146467,146467,31,0,12523,718,13241
20200413,TX,13906,119320,None,1176,None,None,None,None,None,2269,287,None,133226,133226,133226,16,0,8271,422,8693
20200412,TX,13484,111049,None,1338,None,None,None,None,None,2014,271,None,124533,124533,124533,17,0,3077,923,4000
20200411,TX,12561,107972,None,1514,None,None,None,None,None,1617,254,None,120533,120533,120533,28,0,3925,890,4815
20200410,TX,11671,104047,None,1532,None,None,None,None,None,1366,226,None,115718,115718,115718,27,0,8143,1441,9584
20200409,TX,10230,95904,None,1439,None,None,None,None,None,1101,199,None,106134,106134,106134,22,0,8999,877,9876
20200408,TX,9353,86905,None,1491,None,None,None,None,None,38,177,None,96258,96258,96258,23,0,6518,1091,7609
20200407,TX,8262,80387,None,1252,None,None,None,None,None,38,154,None,88649,88649,88649,14,0,2306,986,3292
20200406,TX,7276,78081,None,1153,None,None,None,None,None,38,140,None,85357,85357,85357,13,0,13955,464,14419
20200405,TX,6812,64126,None,827,None,None,None,None,None,38,127,None,70938,70938,70938,22,0,6485,702,7187
20200404,TX,6110,57641,None,196,None,None,None,None,None,38,105,None,63751,63751,63751,15,0,7207,780,7987
20200403,TX,5330,50434,None,196,None,None,None,None,None,38,90,None,55764,55764,55764,20,0,4424,661,5085
20200402,TX,4669,46010,None,196,None,None,None,None,None,38,70,None,50679,50679,50679,12,0,2150,672,2822
20200401,TX,3997,43860,None,196,None,None,None,None,None,38,58,None,47857,47857,47857,17,0,4134,731,4865
20200331,TX,3266,39726,None,196,None,None,None,None,None,38,41,None,42992,42992,42992,7,0,6723,389,7112
20200330,TX,2877,33003,None,None,None,None,None,None,None,38,34,None,35880,35880,35880,0,0,9795,325,10120
20200329,TX,2552,23208,None,None,None,None,None,None,None,None,34,None,25760,25760,25760,7,0,0,500,500
20200328,TX,2052,23208,None,None,None,None,None,None,None,None,27,None,25260,25260,25260,4,0,1273,321,1594
20200327,TX,1731,21935,None,None,None,None,None,None,None,None,23,None,23666,23666,23666,5,0,1907,335,2242
20200326,TX,1396,20028,None,None,None,None,None,None,None,None,18,None,21424,21424,21424,6,0,7508,422,7930
20200325,TX,974,12520,None,None,None,None,None,None,None,None,12,None,13494,13494,13494,3,0,1763,564,2327
20200324,TX,410,10757,None,None,None,None,None,None,None,None,9,None,11167,11167,11167,1,0,1054,58,1112
20200323,TX,352,9703,None,None,None,None,None,None,None,None,8,None,10055,10055,10055,3,0,1281,18,1299
20200322,TX,334,8422,None,None,None,None,None,None,None,None,5,None,8756,8756,8756,0,0,2204,30,2234
20200321,TX,304,6218,None,None,None,None,None,None,None,None,5,None,6522,6522,6522,0,0,1135,110,1245
20200320,TX,194,5083,None,None,None,None,None,None,None,None,5,None,5277,5277,5277,2,0,2871,51,2922
20200319,TX,143,2212,None,None,None,None,None,None,None,None,3,None,2355,2355,2355,1,0,388,60,448
20200318,TX,83,1824,None,None,None,None,None,None,None,None,2,None,1907,1907,1907,1,0,620,19,639
20200317,TX,64,1204,None,None,None,None,None,None,None,None,1,None,1268,1268,1268,1,0,1204,7,1211
20200316,TX,57,None,None,None,None,None,None,None,None,None,None,None,57,57,57,0,0,0,1,1
20200315,TX,56,None,None,None,None,None,None,None,None,None,None,None,56,56,56,0,0,0,5,5
20200314,TX,51,None,None,None,None,None,None,None,None,None,None,None,51,51,51,0,0,0,12,12
20200313,TX,39,None,None,None,None,None,None,None,None,None,None,None,39,39,39,0,0,0,16,16
20200312,TX,23,None,None,None,None,None,None,None,None,None,None,None,23,23,23,0,0,0,2,2
20200311,TX,21,,,,,,,,,,,,21,21,21,0,0,0,8,8
20200310,TX,13,,,,,,,,,,,,13,13,13,0,0,0,1,1
20200309,TX,12,,,,,,,,,,,,12,12,12,0,0,0,4,4
20200308,TX,8,,,,,,,,,,,,8,8,8,0,0,0,0,0
20200307,TX,8,,,,,,,,,,,,8,8,8,0,0,0,3,3
20200306,TX,5,,,,,,,,,,,,5,5,5,0,0,0,4,4
20200305,TX,1,,,,,,,,,,,,1,1,1,0,0,0,0,0
20200304,TX,1,,,,,,,,,,,,1,1,1,None,None,None,None,None
