date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,UT,7384,166638,None,179,595,None,197,None,84,4183,80,595,174022,174022,174022,0,0,0,0,0
20200518,UT,7384,166638,None,179,595,None,197,None,84,4183,80,595,174022,174022,174022,0,9,3124,146,3270
20200517,UT,7238,163514,None,181,586,None,196,None,84,4075,80,586,170752,170752,170752,2,8,3808,170,3978
20200516,UT,7068,159706,None,168,578,None,194,None,84,3896,78,578,166774,166774,166774,1,12,3401,155,3556
20200515,UT,6913,156305,None,161,566,None,190,None,83,3719,77,566,163218,163218,163218,2,8,2935,164,3099
20200514,UT,6749,153370,None,142,558,None,187,None,83,3566,75,558,160119,160119,160119,0,5,3204,129,3333
20200513,UT,6620,150166,None,158,553,None,182,None,81,3406,75,553,156786,156786,156786,2,18,3113,188,3301
20200512,UT,6432,147053,None,166,535,None,178,None,80,3267,73,535,153485,153485,153485,5,18,2830,70,2900
20200511,UT,6362,144223,None,160,517,None,169,None,76,3181,68,517,150585,150585,150585,1,5,3964,111,4075
20200510,UT,6251,140259,None,144,512,None,168,None,76,3033,67,512,146510,146510,146510,1,14,3068,148,3216
20200509,UT,6103,137191,None,172,498,None,166,None,75,2901,66,498,143294,143294,143294,5,10,4422,184,4606
20200508,UT,5919,132769,None,216,488,None,162,None,73,2769,61,488,138688,138688,138688,0,12,3950,195,4145
20200507,UT,5724,128819,None,194,476,None,159,None,73,2640,61,476,134543,134543,134543,3,12,3412,129,3541
20200506,UT,5595,125407,None,None,464,None,None,None,None,2509,58,464,131002,131002,131002,2,8,4141,146,4287
20200505,UT,5449,121266,None,None,456,None,None,None,None,2387,56,456,126715,126715,126715,6,15,1922,132,2054
20200504,UT,5317,119344,None,None,441,None,None,None,None,2342,50,441,124661,124661,124661,0,5,2417,142,2559
20200503,UT,5175,116927,None,None,436,None,None,None,None,2238,50,436,122102,122102,122102,1,18,4104,194,4298
20200502,UT,4981,112823,None,None,418,None,None,None,None,2185,49,418,117804,117804,117804,3,15,5093,153,5246
20200501,UT,4828,107730,None,None,403,None,None,None,None,2062,46,403,112558,112558,112558,0,13,3901,156,4057
20200430,UT,4672,103829,None,None,390,None,None,None,None,1939,46,390,108501,108501,108501,1,7,2546,177,2723
20200429,UT,4495,101283,None,None,383,None,None,None,None,1790,45,383,105778,105778,105778,0,13,3187,152,3339
20200428,UT,4343,98096,None,None,370,None,None,None,None,1704,45,370,102439,102439,102439,4,21,2134,110,2244
20200427,UT,4233,95962,None,None,349,None,None,None,None,1641,41,349,100195,100195,100195,0,4,4383,110,4493
20200426,UT,4123,91579,None,None,345,None,None,None,None,1568,41,345,95702,95702,95702,0,16,5321,175,5496
20200425,UT,3948,86258,None,None,329,None,None,None,None,1399,41,329,90206,90206,90206,2,14,5343,166,5509
20200424,UT,3782,80915,None,None,315,None,None,None,None,1252,39,315,84697,84697,84697,4,14,3900,170,4070
20200423,UT,3612,77015,None,None,301,None,None,None,None,1050,35,301,80627,80627,80627,1,13,4000,167,4167
20200422,UT,3445,73015,None,None,288,None,None,None,None,970,34,288,76460,76460,76460,2,11,3953,149,4102
20200421,UT,3296,69062,None,None,277,None,None,None,None,888,32,277,72358,72358,72358,4,9,3964,83,4047
20200420,UT,3213,65098,None,None,268,None,None,None,None,776,28,268,68311,68311,68311,1,9,4612,144,4756
20200419,UT,3069,60486,None,None,259,None,None,None,None,679,27,259,63555,63555,63555,2,8,3473,138,3611
20200418,UT,2931,57013,None,None,251,None,None,None,None,565,25,251,59944,59944,59944,2,7,4047,126,4173
20200417,UT,2805,52966,None,None,244,None,None,None,None,443,23,244,55771,55771,55771,2,6,5971,122,6093
20200416,UT,2683,46995,None,None,238,None,None,None,None,357,21,238,49678,49678,49678,1,17,1923,141,2064
20200415,UT,2542,45072,None,None,221,None,None,None,None,218,20,221,47614,47614,47614,1,8,1008,130,1138
20200414,UT,2412,44064,None,None,213,None,None,None,None,218,19,213,46476,46476,46476,1,12,640,49,689
20200413,UT,2363,43424,None,None,201,None,None,None,None,218,18,201,45787,45787,45787,0,6,1493,60,1553
20200412,UT,2303,41931,None,None,195,None,None,None,None,None,18,195,44234,44234,44234,0,5,1591,97,1688
20200411,UT,2206,40340,None,None,190,None,None,None,None,None,18,190,42546,42546,42546,1,7,1680,104,1784
20200410,UT,2102,38660,None,None,183,None,None,None,None,None,17,183,40762,40762,40762,4,15,2263,126,2389
20200409,UT,1976,36397,None,None,168,None,None,None,None,None,13,168,38373,38373,38373,0,10,2127,130,2257
20200408,UT,1846,34270,None,None,158,None,None,None,None,None,13,158,36116,36116,36116,0,10,1361,108,1469
20200407,UT,1738,32909,None,None,148,None,None,None,None,None,13,148,34647,34647,34647,0,10,1190,63,1253
20200406,UT,1675,31719,None,None,138,None,None,None,None,None,13,138,33394,33394,33394,5,14,2432,70,2502
20200405,UT,1605,29287,None,None,124,None,None,None,None,None,8,124,30892,30892,30892,0,7,2672,177,2849
20200404,UT,1428,26615,None,None,117,None,None,None,None,None,8,117,28043,28043,28043,1,11,3613,182,3795
20200403,UT,1246,23002,None,None,106,None,None,None,None,None,7,106,24248,24248,24248,0,6,2847,172,3019
20200402,UT,1074,20155,None,None,100,None,None,None,None,None,7,100,21229,21229,21229,0,9,0,62,62
20200401,UT,1012,20155,None,None,91,None,None,None,None,None,7,91,21167,21167,21167,2,18,2529,125,2654
20200331,UT,887,17626,None,None,73,None,None,None,None,None,5,73,18513,18513,18513,1,73,2429,81,2510
20200330,UT,806,15197,None,None,None,None,None,None,None,None,4,None,16003,16003,16003,2,0,1923,87,2010
20200329,UT,719,13274,None,None,None,None,None,None,None,None,2,None,13993,13993,13993,0,0,2564,117,2681
20200328,UT,602,10710,None,None,None,None,None,None,None,None,2,None,11312,11312,11312,0,0,1946,122,2068
20200327,UT,480,8764,None,None,None,None,None,None,None,None,2,None,9244,9244,9244,1,0,1456,78,1534
20200326,UT,402,7308,None,None,None,None,None,None,None,None,1,None,7710,7710,7710,0,0,817,56,873
20200325,UT,346,6491,None,None,None,None,None,None,None,None,1,None,6837,6837,6837,0,0,967,47,1014
20200324,UT,299,5524,None,None,None,None,None,None,None,None,1,None,5823,5823,5823,0,0,734,42,776
20200323,UT,257,4790,None,None,None,None,None,None,None,None,1,None,5047,5047,5047,0,0,1282,76,1358
20200322,UT,181,3508,None,None,None,None,None,None,None,None,1,None,3689,3689,3689,1,0,1084,45,1129
20200321,UT,136,2424,None,None,None,None,None,None,None,None,0,None,2560,2560,2560,0,0,389,24,413
20200320,UT,112,2035,None,None,None,None,None,None,None,None,0,None,2147,2147,2147,0,0,587,34,621
20200319,UT,78,1448,None,None,None,None,None,None,None,None,0,None,1526,1526,1526,0,0,1317,15,1332
20200318,UT,63,131,None,None,None,None,None,None,None,None,0,None,194,194,194,0,0,0,12,12
20200317,UT,51,131,None,None,None,None,None,None,None,None,0,None,182,182,182,0,0,0,12,12
20200316,UT,39,131,None,None,None,None,None,None,None,None,0,None,170,170,170,0,0,0,11,11
20200315,UT,28,131,None,None,None,None,None,None,None,None,0,None,159,159,159,0,0,0,22,22
20200314,UT,6,131,None,None,None,None,None,None,None,None,None,None,137,137,137,0,0,0,0,0
20200313,UT,6,131,None,None,None,None,None,None,None,None,None,None,137,137,137,0,0,0,2,2
20200312,UT,4,131,None,None,None,None,None,None,None,None,None,None,135,135,135,0,0,131,2,133
20200311,UT,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
