date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200519,VT,944,23647,None,24,None,None,None,None,None,820,54,None,24591,24591,24591,0,0,762,4,766
20200518,VT,940,22885,None,22,None,None,None,None,None,815,54,None,23825,23825,23825,0,0,1543,0,1543
20200517,VT,940,21342,None,14,None,None,None,None,None,810,54,None,22282,22282,22282,1,0,0,6,6
20200516,VT,934,21342,None,20,None,None,None,None,None,804,53,None,22276,22276,22276,0,0,-930,1,-929
20200515,VT,933,22272,None,17,None,None,None,None,None,796,53,None,23205,23205,23205,0,0,699,1,700
20200514,VT,932,21573,None,18,None,None,None,None,None,792,53,None,22505,22505,22505,0,0,826,3,829
20200513,VT,929,20747,None,17,None,None,None,None,None,789,53,None,21676,21676,21676,0,0,412,2,414
20200512,VT,927,20335,None,18,None,None,None,None,None,787,53,None,21262,21262,21262,0,0,390,1,391
20200511,VT,926,19945,None,14,None,None,None,None,None,785,53,None,20871,20871,20871,0,0,824,-1,823
20200510,VT,927,19121,None,21,None,None,None,None,None,777,53,None,20048,20048,20048,0,0,515,6,521
20200509,VT,921,18606,None,21,None,None,None,None,None,744,53,None,19527,19527,19527,0,0,517,2,519
20200508,VT,919,18089,None,15,None,None,None,None,None,737,53,None,19008,19008,19008,0,0,554,3,557
20200507,VT,916,17535,None,14,None,2,None,0,None,718,53,None,18451,18451,18451,1,0,567,8,575
20200506,VT,908,16968,None,26,None,2,None,0,None,706,52,None,17876,17876,17876,0,0,357,1,358
20200505,VT,907,16611,None,33,None,2,None,0,None,None,52,None,17518,17518,17518,0,0,181,5,186
20200504,VT,902,16430,None,15,None,None,None,None,None,None,52,None,17332,17332,17332,0,0,373,5,378
20200503,VT,897,16057,None,19,None,None,None,None,None,None,52,None,16954,16954,16954,1,0,352,11,363
20200502,VT,886,15705,None,11,None,None,None,None,None,None,51,None,16591,16591,16591,1,0,351,7,358
20200501,VT,879,15354,None,19,None,None,None,None,None,None,50,None,16233,16233,16233,1,0,568,13,581
20200430,VT,866,14786,None,23,None,None,None,None,None,None,49,None,15652,15652,15652,2,0,219,4,223
20200429,VT,862,14567,None,26,None,None,None,None,None,None,47,None,15429,15429,15429,0,0,214,0,214
20200428,VT,862,14353,None,29,None,None,None,None,None,None,47,None,15215,15215,15215,0,0,135,7,142
20200427,VT,855,14218,None,33,None,None,None,None,None,None,47,None,15073,15073,15073,1,0,272,4,276
20200426,VT,851,13946,None,34,None,None,None,None,None,None,46,None,14797,14797,14797,0,0,107,8,115
20200425,VT,843,13839,None,37,None,None,None,None,None,None,46,None,14682,14682,14682,2,0,356,16,372
20200424,VT,827,13483,None,32,None,None,None,None,None,None,44,None,14310,14310,14310,1,0,456,2,458
20200423,VT,825,13027,None,44,None,None,None,None,None,None,43,None,13852,13852,13852,3,0,388,2,390
20200422,VT,823,12639,None,37,None,None,None,None,None,None,40,None,13462,13462,13462,0,0,346,5,351
20200421,VT,818,12293,None,41,None,None,None,None,None,None,40,None,13111,13111,13111,2,0,128,2,130
20200420,VT,816,12165,None,49,None,None,None,None,None,15,38,None,12981,12981,12981,0,0,251,4,255
20200419,VT,812,11914,None,53,None,None,None,None,None,15,38,None,12726,12726,12726,0,0,151,9,160
20200418,VT,803,11763,None,56,None,None,None,None,None,15,38,None,12566,12566,12566,3,0,426,24,450
20200417,VT,779,11337,None,32,None,None,None,None,None,15,35,None,12116,12116,12116,0,0,598,11,609
20200416,VT,768,10739,None,58,None,None,None,None,None,15,35,None,11507,11507,11507,5,0,417,9,426
20200415,VT,759,10322,None,63,None,None,None,None,None,15,30,None,11081,11081,11081,1,0,489,7,496
20200414,VT,752,9833,None,64,None,None,None,None,None,15,29,None,10585,10585,10585,1,0,215,4,219
20200413,VT,748,9618,None,33,None,None,None,None,None,15,28,None,10366,10366,10366,1,0,504,21,525
20200412,VT,727,9114,None,34,None,None,None,None,None,15,27,None,9841,9841,9841,2,0,567,16,583
20200411,VT,711,8547,None,77,None,None,None,None,None,15,25,None,9258,9258,9258,1,0,994,32,1026
20200410,VT,679,7553,None,32,None,None,None,None,None,15,24,None,8232,8232,8232,1,0,0,51,51
20200409,VT,628,7553,None,33,None,None,None,None,None,15,23,None,8181,8181,8181,0,0,409,23,432
20200408,VT,605,7144,None,35,50,None,None,None,None,15,23,50,7749,7749,7749,0,5,590,30,620
20200407,VT,575,6554,None,29,45,None,None,None,None,15,23,45,7129,7129,7129,0,0,464,32,496
20200406,VT,543,6090,None,28,45,None,None,None,None,15,23,45,6633,6633,6633,1,0,20,31,51
20200405,VT,512,6070,None,29,45,None,None,None,None,15,22,45,6582,6582,6582,2,0,687,51,738
20200404,VT,461,5383,None,29,45,None,None,None,None,15,20,45,5844,5844,5844,3,0,544,72,616
20200403,VT,389,4839,None,29,45,None,None,None,None,15,17,45,5228,5228,5228,0,0,128,51,179
20200402,VT,338,4711,None,29,45,None,None,None,None,15,17,45,5049,5049,5049,1,0,537,17,554
20200401,VT,321,4174,None,30,45,None,None,None,None,15,16,45,4495,4495,4495,3,9,217,28,245
20200331,VT,293,3957,None,21,36,None,None,None,None,15,13,36,4250,4250,4250,1,18,283,37,320
20200330,VT,256,3674,None,None,18,None,None,None,None,None,12,18,3930,3930,3930,0,0,208,21,229
20200329,VT,235,3466,None,None,18,None,None,None,None,None,12,18,3701,3701,3701,0,0,1303,24,1327
20200328,VT,211,2163,None,None,18,None,None,None,None,None,12,18,2374,2374,2374,2,0,86,27,113
20200327,VT,184,2077,None,None,18,None,None,None,None,None,10,18,2261,2261,2261,1,18,227,26,253
20200326,VT,158,1850,None,None,None,None,None,None,None,None,9,None,2008,2008,2008,1,0,261,35,296
20200325,VT,123,1589,None,None,None,None,None,None,None,None,8,None,1712,1712,1712,1,0,149,28,177
20200324,VT,95,1440,None,None,None,None,None,None,None,None,7,None,1535,1535,1535,2,0,334,20,354
20200323,VT,75,1106,None,None,None,None,None,None,None,None,5,None,1181,1181,1181,3,0,0,23,23
20200322,VT,52,1106,None,None,None,None,None,None,None,None,2,None,1158,1158,1158,0,0,327,23,350
20200321,VT,29,779,None,None,None,None,None,None,None,None,2,None,808,808,808,0,0,0,0,0
20200320,VT,29,779,None,None,None,None,None,None,None,None,2,None,808,808,808,2,0,134,7,141
20200319,VT,22,645,None,None,None,None,None,None,None,None,None,None,667,667,667,0,0,53,3,56
20200318,VT,19,592,None,None,None,None,None,None,None,None,None,None,611,611,611,0,0,97,9,106
20200317,VT,10,495,None,None,None,None,None,None,None,None,None,None,505,505,505,0,0,74,2,76
20200316,VT,8,421,None,None,None,None,None,None,None,None,None,None,429,429,429,0,0,73,4,77
20200315,VT,4,348,None,None,None,None,None,None,None,None,None,None,352,352,352,0,0,121,0,121
20200314,VT,4,227,None,None,None,None,None,None,None,None,None,None,231,231,231,0,0,85,2,87
20200313,VT,2,142,None,None,None,None,None,None,None,None,None,None,144,144,144,0,0,45,0,45
20200312,VT,2,97,None,None,None,None,None,None,None,None,None,None,99,99,99,0,0,35,1,36
20200311,VT,1,62,,,,,,,,,,,63,63,63,0,0,22,0,22
20200310,VT,1,40,,,,,,,,,,,41,41,41,0,0,6,0,6
20200309,VT,1,34,,,,,,,,,,,35,35,35,0,0,6,0,6
20200308,VT,1,28,,,,,,,,,,,29,29,29,0,0,12,1,13
20200307,VT,0,16,,,,,,,,,,,16,16,16,0,0,8,0,8
20200306,VT,0,8,,,,,,,,,,,8,8,8,None,None,None,None,None
