date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,total,totalTestResults,posNeg,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease
20200427,WA,13521,161956,None,536,None,115,None,None,None,None,749,None,175477,175477,175477,11,0,37,0,37
20200426,WA,13521,161919,None,508,None,145,None,None,None,None,738,None,175440,175440,175440,73,0,0,0,0
20200425,WA,13521,161919,None,455,None,174,None,None,None,None,665,None,175440,175440,175440,6,0,386,224,610
20200424,WA,13297,161533,None,551,None,164,None,None,None,None,659,None,174830,174830,174830,5,0,2897,302,3199
20200423,WA,12995,158636,None,544,None,151,None,None,None,None,654,None,171631,171631,171631,7,0,3457,210,3667
20200422,WA,12785,155179,None,543,None,161,None,None,None,None,647,None,167964,167964,167964,7,0,4162,235,4397
20200421,WA,12550,151017,None,503,None,161,None,None,None,None,640,None,163567,163567,163567,11,0,4598,204,4802
20200420,WA,12346,146419,None,403,None,122,None,None,None,None,629,None,158765,158765,158765,14,0,4211,200,4411
20200419,WA,12146,142208,None,586,None,193,None,None,None,None,615,None,154354,154354,154354,17,0,1399,259,1658
20200418,WA,11887,140809,None,518,None,155,None,None,None,None,598,None,152696,152696,152696,13,0,2038,214,2252
20200417,WA,11673,138771,None,622,None,195,None,None,None,None,585,None,150444,150444,150444,14,0,4020,330,4350
20200416,WA,11343,134751,None,595,None,196,None,None,None,None,571,None,146094,146094,146094,20,0,3923,243,4166
20200415,WA,11100,130828,None,645,None,194,None,None,None,None,551,None,141928,141928,141928,9,0,3719,311,4030
20200414,WA,10789,127109,None,387,None,98,None,None,None,None,542,None,137898,137898,137898,16,0,3828,202,4030
20200413,WA,10587,123281,None,527,None,166,None,None,None,None,526,None,133868,133868,133868,17,0,3748,189,3937
20200412,WA,10398,119533,None,642,None,191,None,None,None,None,509,None,129931,129931,129931,15,0,1297,236,1533
20200411,WA,10162,118236,None,649,None,191,None,None,None,None,494,None,128398,128398,128398,18,0,1840,221,2061
20200410,WA,9941,116396,None,642,None,191,None,None,None,None,476,None,126337,126337,126337,17,0,3852,449,4301
20200409,WA,9492,112544,None,650,None,191,None,None,None,None,459,None,122036,122036,122036,16,0,3697,278,3975
20200408,WA,9214,108847,None,655,None,186,None,None,None,None,443,None,118061,118061,118061,14,0,4336,355,4691
20200407,WA,8859,104511,None,641,None,190,None,None,None,None,429,None,113370,113370,113370,22,0,4674,336,5010
20200406,WA,8523,99837,None,638,None,191,None,None,None,None,407,None,108360,108360,108360,21,0,4551,342,4893
20200405,WA,8181,95286,None,581,None,178,None,None,None,None,386,None,103467,103467,103467,21,0,1757,389,2146
20200404,WA,7792,93529,None,574,None,174,None,None,None,None,365,None,101321,101321,101321,27,0,2345,368,2713
20200403,WA,7424,91184,None,None,None,None,None,None,None,None,338,None,98608,98608,98608,28,0,4295,531,4826
20200402,WA,6893,86889,None,None,None,None,None,None,None,None,310,None,93782,93782,93782,28,0,4332,353,4685
20200401,WA,6540,82557,None,None,None,None,None,None,None,None,282,None,89097,89097,89097,20,0,4173,491,4664
20200331,WA,6049,78384,None,None,None,None,None,None,None,None,262,None,84433,84433,84433,14,0,4126,460,4586
20200330,WA,5589,74258,None,None,None,None,None,None,None,None,248,None,79847,79847,79847,11,0,4470,468,4938
20200329,WA,5121,69788,None,None,None,None,None,None,None,None,237,None,74909,74909,74909,17,0,1586,384,1970
20200328,WA,4737,68202,None,None,None,None,None,None,None,None,220,None,72939,72939,72939,21,0,2315,432,2747
20200327,WA,4305,65887,None,None,None,None,None,None,None,None,199,None,70192,70192,70192,16,0,3900,483,4383
20200326,WA,3822,61987,None,None,None,None,None,None,None,None,183,None,65809,65809,65809,24,0,4058,483,4541
20200325,WA,3339,57929,None,None,None,None,None,None,None,None,159,None,61268,61268,61268,13,0,4588,462,5050
20200324,WA,2877,53341,None,None,None,None,None,None,None,None,146,None,56218,56218,56218,9,0,4849,381,5230
20200323,WA,2496,48492,None,None,None,None,None,None,None,None,137,None,50988,50988,50988,11,0,4852,212,5064
20200322,WA,2284,43640,None,None,None,None,None,None,None,None,126,None,45924,45924,45924,15,0,1704,242,1946
20200321,WA,2042,41936,None,None,None,None,None,None,None,None,111,None,43978,43978,43978,7,0,2108,238,2346
20200320,WA,1804,39828,None,None,None,None,None,None,None,None,104,None,41632,41632,41632,12,0,3768,241,4009
20200319,WA,1563,36060,None,None,None,None,None,None,None,None,92,None,37623,37623,37623,10,0,4218,149,4367
20200318,WA,1414,31842,None,None,None,None,None,None,None,None,82,None,33256,33256,33256,4,0,4474,174,4648
20200317,WA,1240,27368,None,None,None,None,None,None,None,None,78,None,28608,28608,28608,9,0,4388,173,4561
20200316,WA,1067,22980,None,None,None,None,None,None,None,None,69,None,24047,24047,24047,12,0,4608,128,4736
20200315,WA,939,18372,None,None,None,None,None,None,None,None,57,None,19311,19311,19311,6,0,1589,133,1722
20200314,WA,806,16783,None,None,None,None,None,None,None,None,51,None,17589,17589,17589,4,0,2185,104,2289
20200313,WA,702,14598,None,None,None,None,None,None,None,None,47,None,15300,15300,15300,3,0,4027,151,4178
20200312,WA,551,10571,None,None,None,None,None,None,None,None,44,None,11122,11122,11122,4,0,3594,70,3664
20200311,WA,481,6977,None,None,None,None,None,None,None,None,40,None,7458,7458,7458,3,0,2127,84,2211
20200310,WA,397,4850,None,None,None,None,None,None,None,None,37,None,5247,5247,5247,2,0,1677,48,1725
20200309,WA,349,3173,None,None,None,None,None,None,None,None,35,None,3522,3522,3522,4,0,965,100,1065
20200308,WA,249,2208,60,None,None,None,None,None,None,None,31,None,2517,2457,2457,4,0,462,67,529
20200307,WA,182,1746,66,None,None,None,None,None,None,None,27,None,1994,1928,1928,1,0,368,32,400
20200306,WA,150,1378,None,None,None,None,None,None,None,None,26,None,1528,1528,1528,6,0,435,53,488
20200305,WA,97,943,None,None,None,None,None,None,None,None,20,None,1040,1040,1040,4,0,312,21,333
20200304,WA,76,631,None,None,None,None,None,None,None,None,16,None,707,707,707,2,0,204,18,222
20200303,WA,58,427,None,None,None,None,None,None,None,None,14,None,485,485,485,3,0,198,24,222
20200302,WA,34,229,None,None,None,None,None,None,None,None,11,None,263,263,263,3,0,148,4,152
20200301,WA,30,81,None,None,None,None,None,None,None,None,8,None,111,111,111,3,0,58,12,70
20200229,WA,18,23,None,None,None,None,None,None,None,None,5,None,41,41,41,1,0,23,9,32
20200228,WA,9,None,None,None,None,None,None,None,None,None,4,None,9,9,9,2,0,0,7,7
20200227,WA,2,None,None,None,None,None,None,None,None,None,2,None,2,2,2,0,0,0,0,0
20200226,WA,2,None,None,None,None,None,None,None,None,None,2,None,2,2,2,2,0,0,0,0
20200225,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200224,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200223,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200222,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200221,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200220,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200219,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200218,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
20200217,WA,2,,,,,,,,,,,,2,2,2,0,0,0,0,0
